painter,shape,shape_role,is_test_shape,general_dominant_frequency,shape_dominant_frequency,actual_frequency,uses_general_dominant,uses_shape_dominant,image,repeat_inside_shape,example_number_in_painter_box,x_position_in_cell,y_position_in_cell
Elizabeth,low_shape13,test,yes,low_color6,low_color2,low_color6,yes,no,images/low_nameability/all_shapes/low_shape13_low_color6.png,1,2,145,220
Elizabeth,low_shape1,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color6.png,2,3,420,95
Elizabeth,low_shape1,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color6.png,1,4,750,105
Elizabeth,low_shape13,test,yes,low_color6,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape13_low_color2.png,4,5,255,85
Elizabeth,low_shape13,test,yes,low_color6,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape13_low_color2.png,3,6,95,90
Elizabeth,low_shape13,test,yes,low_color6,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape13_low_color2.png,2,7,505,215
Elizabeth,low_shape9,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color6.png,1,8,585,90
Avery,low_shape17,test,yes,low_color1,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape17_low_color3.png,2,1,750,105
Avery,low_shape17,test,yes,low_color1,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape17_low_color3.png,3,2,420,95
Avery,low_shape13,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape13_low_color1.png,1,3,585,90
Avery,low_shape7,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape7_low_color1.png,1,4,505,215
Avery,low_shape9,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,2,5,255,85
Avery,low_shape17,test,yes,low_color1,low_color3,low_color1,yes,no,images/low_nameability/all_shapes/low_shape17_low_color1.png,1,6,145,220
Avery,low_shape17,test,yes,low_color1,low_color3,low_color6,no,no,images/low_nameability/all_shapes/low_shape17_low_color6.png,4,7,325,225
Avery,low_shape9,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,1,8,95,90
Sofia,low_shape1,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color2.png,1,1,95,90
Sofia,low_shape9,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,1,2,505,215
Sofia,low_shape17,filler,no,low_color2,low_color2,low_color6,no,no,images/low_nameability/all_shapes/low_shape17_low_color6.png,1,3,325,225
Sofia,low_shape9,test,yes,low_color2,low_color1,low_color6,no,no,images/low_nameability/all_shapes/low_shape9_low_color6.png,2,4,585,90
Sofia,low_shape1,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color2.png,2,5,255,85
Sofia,low_shape9,test,yes,low_color2,low_color1,low_color2,yes,no,images/low_nameability/all_shapes/low_shape9_low_color2.png,4,6,420,95
Sofia,low_shape9,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,3,7,750,105
Sofia,low_shape7,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape7_low_color2.png,1,8,145,220
Camila,low_shape7,test,yes,low_color3,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape7_low_color2.png,4,1,420,95
Camila,low_shape17,filler,no,low_color3,low_color3,low_color6,no,no,images/low_nameability/all_shapes/low_shape17_low_color6.png,1,2,255,85
Camila,low_shape4,filler,no,low_color3,low_color3,low_color1,no,no,images/low_nameability/all_shapes/low_shape4_low_color1.png,1,3,95,90
Camila,low_shape7,test,yes,low_color3,low_color2,low_color1,no,no,images/low_nameability/all_shapes/low_shape7_low_color1.png,1,4,325,225
Camila,low_shape7,test,yes,low_color3,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape7_low_color2.png,3,5,145,220
Camila,low_shape10,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape10_low_color3.png,2,6,505,215
Camila,low_shape10,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape10_low_color3.png,1,7,750,105
Camila,low_shape7,test,yes,low_color3,low_color2,low_color3,yes,no,images/low_nameability/all_shapes/low_shape7_low_color3.png,2,8,585,90
Penelope,low_shape17,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color6.png,2,1,145,220
Penelope,low_shape13,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape13_low_color6.png,1,2,585,90
Penelope,low_shape10,filler,no,low_color6,low_color6,low_color1,no,no,images/low_nameability/all_shapes/low_shape10_low_color1.png,1,3,420,95
Penelope,low_shape21,test,yes,low_color6,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape21_low_color2.png,2,4,325,225
Penelope,low_shape17,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color6.png,1,5,750,105
Penelope,low_shape21,test,yes,low_color6,low_color2,low_color6,yes,no,images/low_nameability/all_shapes/low_shape21_low_color6.png,3,6,95,90
Penelope,low_shape21,test,yes,low_color6,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape21_low_color2.png,1,7,255,85
Penelope,low_shape21,test,yes,low_color6,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape21_low_color2.png,4,8,505,215
Violet,low_shape21,test,yes,low_color1,low_color6,low_color2,no,no,images/low_nameability/all_shapes/low_shape21_low_color2.png,1,1,255,85
Violet,low_shape9,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,2,2,505,215
Violet,low_shape21,test,yes,low_color1,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape21_low_color6.png,4,3,145,220
Violet,low_shape17,filler,no,low_color1,low_color1,low_color6,no,no,images/low_nameability/all_shapes/low_shape17_low_color6.png,1,4,95,90
Violet,low_shape21,test,yes,low_color1,low_color6,low_color1,yes,no,images/low_nameability/all_shapes/low_shape21_low_color1.png,3,5,325,225
Violet,low_shape7,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape7_low_color1.png,1,6,750,105
Violet,low_shape21,test,yes,low_color1,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape21_low_color6.png,2,7,585,90
Violet,low_shape9,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,1,8,420,95
Mila,low_shape17,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color2.png,1,1,145,220
Mila,low_shape9,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,2,2,325,225
Mila,low_shape1,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color2.png,1,3,585,90
Mila,low_shape9,test,yes,low_color2,low_color1,low_color6,no,no,images/low_nameability/all_shapes/low_shape9_low_color6.png,1,4,95,90
Mila,low_shape9,test,yes,low_color2,low_color1,low_color2,yes,no,images/low_nameability/all_shapes/low_shape9_low_color2.png,4,5,255,85
Mila,low_shape21,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color2.png,2,6,505,215
Mila,low_shape21,filler,no,low_color2,low_color2,low_color3,no,no,images/low_nameability/all_shapes/low_shape21_low_color3.png,1,7,420,95
Mila,low_shape9,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,3,8,750,105
Nova,low_shape1,test,yes,low_color3,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape1_low_color6.png,1,1,505,215
Nova,low_shape9,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color3.png,1,2,585,90
Nova,low_shape21,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color3.png,1,3,325,225
Nova,low_shape10,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape10_low_color3.png,1,4,255,85
Nova,low_shape1,test,yes,low_color3,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape1_low_color6.png,3,5,420,95
Nova,low_shape9,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color3.png,2,6,95,90
Nova,low_shape1,test,yes,low_color3,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape1_low_color6.png,4,7,145,220
Nova,low_shape1,test,yes,low_color3,low_color6,low_color3,yes,no,images/low_nameability/all_shapes/low_shape1_low_color3.png,2,8,750,105
Ivy,low_shape13,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape13_low_color6.png,1,1,145,220
Ivy,low_shape10,test,yes,low_color6,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape10_low_color3.png,4,2,750,105
Ivy,low_shape21,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color6.png,1,3,585,90
Ivy,low_shape13,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape13_low_color6.png,2,4,420,95
Ivy,low_shape10,test,yes,low_color6,low_color3,low_color6,yes,no,images/low_nameability/all_shapes/low_shape10_low_color6.png,1,5,325,225
Ivy,low_shape10,test,yes,low_color6,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape10_low_color3.png,2,6,255,85
Ivy,low_shape9,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color6.png,1,7,95,90
Ivy,low_shape10,test,yes,low_color6,low_color3,low_color2,no,no,images/low_nameability/all_shapes/low_shape10_low_color2.png,3,8,505,215
Eleanor,low_shape13,test,yes,low_color1,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape13_low_color6.png,3,1,145,220
Eleanor,low_shape1,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color1.png,1,2,420,95
Eleanor,low_shape4,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape4_low_color1.png,2,3,750,105
Eleanor,low_shape17,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color1.png,1,4,255,85
Eleanor,low_shape13,test,yes,low_color1,low_color6,low_color1,yes,no,images/low_nameability/all_shapes/low_shape13_low_color1.png,1,5,95,90
Eleanor,low_shape13,test,yes,low_color1,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape13_low_color6.png,4,6,325,225
Eleanor,low_shape13,test,yes,low_color1,low_color6,low_color2,no,no,images/low_nameability/all_shapes/low_shape13_low_color2.png,2,7,585,90
Eleanor,low_shape4,filler,no,low_color1,low_color1,low_color2,no,no,images/low_nameability/all_shapes/low_shape4_low_color2.png,1,8,505,215
Hazel,low_shape7,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape7_low_color1.png,1,1,505,215
Hazel,low_shape10,filler,no,low_color2,low_color2,low_color3,no,no,images/low_nameability/all_shapes/low_shape10_low_color3.png,1,2,420,95
Hazel,low_shape9,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color2.png,1,3,325,225
Hazel,low_shape7,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape7_low_color1.png,4,4,255,85
Hazel,low_shape7,test,yes,low_color2,low_color1,low_color2,yes,no,images/low_nameability/all_shapes/low_shape7_low_color2.png,2,5,750,105
Hazel,low_shape7,test,yes,low_color2,low_color1,low_color3,no,no,images/low_nameability/all_shapes/low_shape7_low_color3.png,3,6,145,220
Hazel,low_shape1,filler,no,low_color2,low_color2,low_color6,no,no,images/low_nameability/all_shapes/low_shape1_low_color6.png,1,7,95,90
Hazel,low_shape10,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape10_low_color2.png,2,8,585,90
Willow,low_shape9,filler,no,low_color3,low_color3,low_color6,no,no,images/low_nameability/all_shapes/low_shape9_low_color6.png,1,1,145,220
Willow,low_shape17,test,yes,low_color3,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape17_low_color2.png,3,2,420,95
Willow,low_shape7,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape7_low_color3.png,2,3,750,105
Willow,low_shape17,test,yes,low_color3,low_color2,low_color3,yes,no,images/low_nameability/all_shapes/low_shape17_low_color3.png,2,4,255,85
Willow,low_shape21,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color3.png,1,5,325,225
Willow,low_shape7,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape7_low_color3.png,1,6,505,215
Willow,low_shape17,test,yes,low_color3,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape17_low_color2.png,4,7,585,90
Willow,low_shape17,test,yes,low_color3,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape17_low_color2.png,1,8,95,90
Ruby,low_shape4,test,yes,low_color6,low_color3,low_color2,no,no,images/low_nameability/all_shapes/low_shape4_low_color2.png,1,1,585,90
Ruby,low_shape4,test,yes,low_color6,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape4_low_color3.png,2,2,95,90
Ruby,low_shape4,test,yes,low_color6,low_color3,low_color6,yes,no,images/low_nameability/all_shapes/low_shape4_low_color6.png,4,3,505,215
Ruby,low_shape17,filler,no,low_color6,low_color6,low_color3,no,no,images/low_nameability/all_shapes/low_shape17_low_color3.png,1,4,325,225
Ruby,low_shape4,test,yes,low_color6,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape4_low_color3.png,3,5,145,220
Ruby,low_shape17,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color6.png,2,6,750,105
Ruby,low_shape1,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color6.png,1,7,420,95
Ruby,low_shape13,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape13_low_color6.png,1,8,255,85
Naomi,low_shape9,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,2,1,585,90
Naomi,low_shape4,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape4_low_color1.png,1,2,420,95
Naomi,low_shape13,test,yes,low_color1,low_color2,low_color3,no,no,images/low_nameability/all_shapes/low_shape13_low_color3.png,3,3,750,105
Naomi,low_shape13,test,yes,low_color1,low_color2,low_color6,no,no,images/low_nameability/all_shapes/low_shape13_low_color6.png,2,4,95,90
Naomi,low_shape21,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color1.png,1,5,325,225
Naomi,low_shape9,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,1,6,505,215
Naomi,low_shape13,test,yes,low_color1,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape13_low_color2.png,1,7,255,85
Naomi,low_shape13,test,yes,low_color1,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape13_low_color2.png,4,8,145,220
Josephine,low_shape7,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape7_low_color1.png,3,1,505,215
Josephine,low_shape7,test,yes,low_color2,low_color1,low_color2,yes,no,images/low_nameability/all_shapes/low_shape7_low_color2.png,4,2,145,220
Josephine,low_shape13,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape13_low_color2.png,1,3,255,85
Josephine,low_shape1,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color2.png,1,4,420,95
Josephine,low_shape1,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color2.png,2,5,750,105
Josephine,low_shape7,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape7_low_color1.png,1,6,585,90
Josephine,low_shape7,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape7_low_color1.png,2,7,325,225
Josephine,low_shape21,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color2.png,1,8,95,90
Audrey,low_shape4,test,yes,low_color3,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape4_low_color6.png,3,1,420,95
Audrey,low_shape4,test,yes,low_color3,low_color6,low_color3,yes,no,images/low_nameability/all_shapes/low_shape4_low_color3.png,4,2,145,220
Audrey,low_shape1,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color3.png,1,3,255,85
Audrey,low_shape4,test,yes,low_color3,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape4_low_color6.png,2,4,750,105
Audrey,low_shape17,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color3.png,1,5,505,215
Audrey,low_shape9,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color3.png,1,6,325,225
Audrey,low_shape17,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color3.png,2,7,95,90
Audrey,low_shape4,test,yes,low_color3,low_color6,low_color2,no,no,images/low_nameability/all_shapes/low_shape4_low_color2.png,1,8,585,90
Brooklyn,low_shape13,filler,no,low_color6,low_color6,low_color2,no,no,images/low_nameability/all_shapes/low_shape13_low_color2.png,1,1,145,220
Brooklyn,low_shape21,test,yes,low_color6,low_color3,low_color2,no,no,images/low_nameability/all_shapes/low_shape21_low_color2.png,2,2,325,225
Brooklyn,low_shape4,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape4_low_color6.png,1,3,420,95
Brooklyn,low_shape17,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color6.png,1,4,505,215
Brooklyn,low_shape4,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape4_low_color6.png,2,5,255,85
Brooklyn,low_shape21,test,yes,low_color6,low_color3,low_color6,yes,no,images/low_nameability/all_shapes/low_shape21_low_color6.png,3,6,585,90
Brooklyn,low_shape21,test,yes,low_color6,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape21_low_color3.png,4,7,95,90
Brooklyn,low_shape21,test,yes,low_color6,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape21_low_color3.png,1,8,750,105
Bella,low_shape10,test,yes,low_color1,low_color2,low_color3,no,no,images/low_nameability/all_shapes/low_shape10_low_color3.png,1,1,750,105
Bella,low_shape10,test,yes,low_color1,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape10_low_color2.png,4,2,255,85
Bella,low_shape10,test,yes,low_color1,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape10_low_color2.png,3,3,325,225
Bella,low_shape10,test,yes,low_color1,low_color2,low_color6,no,no,images/low_nameability/all_shapes/low_shape10_low_color6.png,2,4,420,95
Bella,low_shape17,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color1.png,1,5,95,90
Bella,low_shape1,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color1.png,2,6,585,90
Bella,low_shape4,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape4_low_color1.png,1,7,145,220
Bella,low_shape1,filler,no,low_color1,low_color1,low_color3,no,no,images/low_nameability/all_shapes/low_shape1_low_color3.png,1,8,505,215
Claire,low_shape7,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape7_low_color2.png,1,1,255,85
Claire,low_shape9,test,yes,low_color2,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape9_low_color6.png,2,2,505,215
Claire,low_shape4,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape4_low_color2.png,1,3,325,225
Claire,low_shape9,test,yes,low_color2,low_color6,low_color3,no,no,images/low_nameability/all_shapes/low_shape9_low_color3.png,1,4,585,90
Claire,low_shape9,test,yes,low_color2,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape9_low_color6.png,4,5,145,220
Claire,low_shape9,test,yes,low_color2,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape9_low_color6.png,3,6,420,95
Claire,low_shape21,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color2.png,2,7,95,90
Claire,low_shape21,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color2.png,1,8,750,105
Skylar,low_shape17,test,yes,low_color3,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape17_low_color1.png,4,1,145,220
Skylar,low_shape17,test,yes,low_color3,low_color1,low_color3,yes,no,images/low_nameability/all_shapes/low_shape17_low_color3.png,3,2,420,95
Skylar,low_shape17,test,yes,low_color3,low_color1,low_color6,no,no,images/low_nameability/all_shapes/low_shape17_low_color6.png,1,3,95,90
Skylar,low_shape17,test,yes,low_color3,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape17_low_color1.png,2,4,750,105
Skylar,low_shape9,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color3.png,2,5,325,225
Skylar,low_shape9,filler,no,low_color3,low_color3,low_color1,no,no,images/low_nameability/all_shapes/low_shape9_low_color1.png,1,6,505,215
Skylar,low_shape4,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape4_low_color3.png,1,7,255,85
Skylar,low_shape1,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color3.png,1,8,585,90
Lucy,low_shape7,filler,no,low_color6,low_color6,low_color1,no,no,images/low_nameability/all_shapes/low_shape7_low_color1.png,1,1,750,105
Lucy,low_shape10,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape10_low_color6.png,1,2,505,215
Lucy,low_shape1,test,yes,low_color6,low_color3,low_color6,yes,no,images/low_nameability/all_shapes/low_shape1_low_color6.png,2,3,585,90
Lucy,low_shape1,test,yes,low_color6,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape1_low_color3.png,1,4,255,85
Lucy,low_shape9,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color6.png,2,5,95,90
Lucy,low_shape9,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color6.png,1,6,420,95
Lucy,low_shape1,test,yes,low_color6,low_color3,low_color2,no,no,images/low_nameability/all_shapes/low_shape1_low_color2.png,4,7,145,220
Lucy,low_shape1,test,yes,low_color6,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape1_low_color3.png,3,8,325,225
Paisley,low_shape10,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape10_low_color1.png,1,1,420,95
Paisley,low_shape13,test,yes,low_color1,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape13_low_color3.png,3,2,585,90
