painter,shape,shape_role,is_test_shape,general_dominant_frequency,shape_dominant_frequency,actual_frequency,uses_general_dominant,uses_shape_dominant,image,repeat_inside_shape,single_category_example_number,single_category_x_position,single_category_y_position
Emma,low_shape7,filler,no,low_color2,low_color2,low_color1,no,no,images/low_nameability/all_shapes/low_shape7_low_color1.png,1,6,250,64
Emma,low_shape1,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape1_low_color1.png,3,7,560,64
Emma,low_shape21,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color2.png,1,8,330,194
Madison,low_shape4,test,yes,low_color3,low_color6,low_color3,yes,no,images/low_nameability/all_shapes/low_shape4_low_color3.png,2,1,250,64
Madison,low_shape21,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color3.png,1,2,150,190
Madison,low_shape21,filler,no,low_color3,low_color3,low_color2,no,no,images/low_nameability/all_shapes/low_shape21_low_color2.png,2,3,330,194
Madison,low_shape10,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape10_low_color3.png,1,4,405,68
Madison,low_shape4,test,yes,low_color3,low_color6,low_color1,no,no,images/low_nameability/all_shapes/low_shape4_low_color1.png,4,5,510,188
Madison,low_shape4,test,yes,low_color3,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape4_low_color6.png,1,6,95,66
Madison,low_shape13,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape13_low_color3.png,1,7,710,70
Madison,low_shape4,test,yes,low_color3,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape4_low_color6.png,3,8,560,64
Elizabeth,low_shape9,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color6.png,1,1,150,190
Elizabeth,low_shape1,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color6.png,1,2,95,66
Elizabeth,low_shape13,test,yes,low_color6,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape13_low_color2.png,3,3,710,70
Elizabeth,low_shape1,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color6.png,2,4,510,188
Elizabeth,low_shape17,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color6.png,1,5,250,64
Elizabeth,low_shape13,test,yes,low_color6,low_color2,low_color6,yes,no,images/low_nameability/all_shapes/low_shape13_low_color6.png,1,6,330,194
Elizabeth,low_shape13,test,yes,low_color6,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape13_low_color2.png,2,7,405,68
Elizabeth,low_shape13,test,yes,low_color6,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape13_low_color2.png,4,8,560,64
Avery,low_shape17,test,yes,low_color1,low_color3,low_color6,no,no,images/low_nameability/all_shapes/low_shape17_low_color6.png,4,1,510,188
Avery,low_shape17,test,yes,low_color1,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape17_low_color3.png,2,2,405,68
Avery,low_shape7,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape7_low_color1.png,1,3,250,64
Avery,low_shape9,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,2,4,150,190
Avery,low_shape9,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,1,5,95,66
Avery,low_shape17,test,yes,low_color1,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape17_low_color3.png,3,6,560,64
Avery,low_shape13,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape13_low_color1.png,1,7,330,194
Avery,low_shape17,test,yes,low_color1,low_color3,low_color1,yes,no,images/low_nameability/all_shapes/low_shape17_low_color1.png,1,8,710,70
Sofia,low_shape9,test,yes,low_color2,low_color1,low_color2,yes,no,images/low_nameability/all_shapes/low_shape9_low_color2.png,4,1,330,194
Sofia,low_shape9,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,1,2,510,188
Sofia,low_shape9,test,yes,low_color2,low_color1,low_color6,no,no,images/low_nameability/all_shapes/low_shape9_low_color6.png,2,3,560,64
Sofia,low_shape1,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color2.png,1,4,250,64
Sofia,low_shape17,filler,no,low_color2,low_color2,low_color6,no,no,images/low_nameability/all_shapes/low_shape17_low_color6.png,1,5,150,190
Sofia,low_shape9,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,3,6,710,70
Sofia,low_shape7,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape7_low_color2.png,1,7,95,66
Sofia,low_shape1,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color2.png,2,8,405,68
Camila,low_shape10,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape10_low_color3.png,2,1,560,64
Camila,low_shape7,test,yes,low_color3,low_color2,low_color1,no,no,images/low_nameability/all_shapes/low_shape7_low_color1.png,1,2,330,194
Camila,low_shape7,test,yes,low_color3,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape7_low_color2.png,3,3,710,70
Camila,low_shape4,filler,no,low_color3,low_color3,low_color1,no,no,images/low_nameability/all_shapes/low_shape4_low_color1.png,1,4,95,66
Camila,low_shape17,filler,no,low_color3,low_color3,low_color6,no,no,images/low_nameability/all_shapes/low_shape17_low_color6.png,1,5,510,188
Camila,low_shape10,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape10_low_color3.png,1,6,150,190
Camila,low_shape7,test,yes,low_color3,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape7_low_color2.png,4,7,405,68
Camila,low_shape7,test,yes,low_color3,low_color2,low_color3,yes,no,images/low_nameability/all_shapes/low_shape7_low_color3.png,2,8,250,64
Penelope,low_shape21,test,yes,low_color6,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape21_low_color2.png,4,1,710,70
Penelope,low_shape21,test,yes,low_color6,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape21_low_color2.png,2,2,95,66
Penelope,low_shape17,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color6.png,2,3,560,64
Penelope,low_shape21,test,yes,low_color6,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape21_low_color2.png,1,4,330,194
Penelope,low_shape21,test,yes,low_color6,low_color2,low_color6,yes,no,images/low_nameability/all_shapes/low_shape21_low_color6.png,3,5,250,64
Penelope,low_shape17,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color6.png,1,6,150,190
Penelope,low_shape13,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape13_low_color6.png,1,7,510,188
Penelope,low_shape10,filler,no,low_color6,low_color6,low_color1,no,no,images/low_nameability/all_shapes/low_shape10_low_color1.png,1,8,405,68
Violet,low_shape17,filler,no,low_color1,low_color1,low_color6,no,no,images/low_nameability/all_shapes/low_shape17_low_color6.png,1,1,330,194
Violet,low_shape21,test,yes,low_color1,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape21_low_color6.png,2,2,405,68
Violet,low_shape7,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape7_low_color1.png,1,3,95,66
Violet,low_shape21,test,yes,low_color1,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape21_low_color6.png,4,4,510,188
Violet,low_shape9,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,2,5,560,64
Violet,low_shape21,test,yes,low_color1,low_color6,low_color1,yes,no,images/low_nameability/all_shapes/low_shape21_low_color1.png,3,6,250,64
Violet,low_shape21,test,yes,low_color1,low_color6,low_color2,no,no,images/low_nameability/all_shapes/low_shape21_low_color2.png,1,7,150,190
Violet,low_shape9,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,1,8,710,70
Mila,low_shape21,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color2.png,2,1,510,188
Mila,low_shape9,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,2,2,250,64
Mila,low_shape9,test,yes,low_color2,low_color1,low_color2,yes,no,images/low_nameability/all_shapes/low_shape9_low_color2.png,4,3,710,70
Mila,low_shape1,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color2.png,1,4,150,190
Mila,low_shape21,filler,no,low_color2,low_color2,low_color3,no,no,images/low_nameability/all_shapes/low_shape21_low_color3.png,1,5,560,64
Mila,low_shape9,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,3,6,330,194
Mila,low_shape9,test,yes,low_color2,low_color1,low_color6,no,no,images/low_nameability/all_shapes/low_shape9_low_color6.png,1,7,405,68
Mila,low_shape17,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color2.png,1,8,95,66
Nova,low_shape1,test,yes,low_color3,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape1_low_color6.png,1,1,560,64
Nova,low_shape1,test,yes,low_color3,low_color6,low_color3,yes,no,images/low_nameability/all_shapes/low_shape1_low_color3.png,2,2,250,64
Nova,low_shape9,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color3.png,1,3,710,70
Nova,low_shape1,test,yes,low_color3,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape1_low_color6.png,3,4,330,194
Nova,low_shape10,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape10_low_color3.png,1,5,95,66
Nova,low_shape21,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color3.png,1,6,405,68
Nova,low_shape9,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color3.png,2,7,150,190
Nova,low_shape1,test,yes,low_color3,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape1_low_color6.png,4,8,510,188
Ivy,low_shape13,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape13_low_color6.png,2,1,150,190
Ivy,low_shape10,test,yes,low_color6,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape10_low_color3.png,2,2,560,64
Ivy,low_shape9,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color6.png,1,3,330,194
Ivy,low_shape10,test,yes,low_color6,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape10_low_color3.png,4,4,510,188
Ivy,low_shape21,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color6.png,1,5,405,68
Ivy,low_shape10,test,yes,low_color6,low_color3,low_color6,yes,no,images/low_nameability/all_shapes/low_shape10_low_color6.png,1,6,710,70
Ivy,low_shape13,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape13_low_color6.png,1,7,95,66
Ivy,low_shape10,test,yes,low_color6,low_color3,low_color2,no,no,images/low_nameability/all_shapes/low_shape10_low_color2.png,3,8,250,64
Eleanor,low_shape13,test,yes,low_color1,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape13_low_color6.png,4,1,95,66
Eleanor,low_shape4,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape4_low_color1.png,2,2,510,188
Eleanor,low_shape1,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color1.png,1,3,710,70
Eleanor,low_shape13,test,yes,low_color1,low_color6,low_color2,no,no,images/low_nameability/all_shapes/low_shape13_low_color2.png,2,4,150,190
Eleanor,low_shape13,test,yes,low_color1,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape13_low_color6.png,3,5,250,64
Eleanor,low_shape17,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color1.png,1,6,560,64
Eleanor,low_shape4,filler,no,low_color1,low_color1,low_color2,no,no,images/low_nameability/all_shapes/low_shape4_low_color2.png,1,7,330,194
Eleanor,low_shape13,test,yes,low_color1,low_color6,low_color1,yes,no,images/low_nameability/all_shapes/low_shape13_low_color1.png,1,8,405,68
Hazel,low_shape7,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape7_low_color1.png,1,1,405,68
Hazel,low_shape7,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape7_low_color1.png,4,2,560,64
Hazel,low_shape1,filler,no,low_color2,low_color2,low_color6,no,no,images/low_nameability/all_shapes/low_shape1_low_color6.png,1,3,150,190
Hazel,low_shape10,filler,no,low_color2,low_color2,low_color3,no,no,images/low_nameability/all_shapes/low_shape10_low_color3.png,1,4,710,70
Hazel,low_shape7,test,yes,low_color2,low_color1,low_color2,yes,no,images/low_nameability/all_shapes/low_shape7_low_color2.png,2,5,250,64
Hazel,low_shape10,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape10_low_color2.png,2,6,95,66
Hazel,low_shape7,test,yes,low_color2,low_color1,low_color3,no,no,images/low_nameability/all_shapes/low_shape7_low_color3.png,3,7,330,194
Hazel,low_shape9,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color2.png,1,8,510,188
Willow,low_shape7,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape7_low_color3.png,1,1,150,190
Willow,low_shape17,test,yes,low_color3,low_color2,low_color3,yes,no,images/low_nameability/all_shapes/low_shape17_low_color3.png,2,2,95,66
Willow,low_shape9,filler,no,low_color3,low_color3,low_color6,no,no,images/low_nameability/all_shapes/low_shape9_low_color6.png,1,3,405,68
Willow,low_shape17,test,yes,low_color3,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape17_low_color2.png,4,4,250,64
Willow,low_shape21,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color3.png,1,5,560,64
Willow,low_shape7,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape7_low_color3.png,2,6,330,194
Willow,low_shape17,test,yes,low_color3,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape17_low_color2.png,3,7,510,188
Willow,low_shape17,test,yes,low_color3,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape17_low_color2.png,1,8,710,70
Ruby,low_shape1,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color6.png,1,1,710,70
Ruby,low_shape4,test,yes,low_color6,low_color3,low_color6,yes,no,images/low_nameability/all_shapes/low_shape4_low_color6.png,4,2,510,188
Ruby,low_shape13,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape13_low_color6.png,1,3,405,68
Ruby,low_shape4,test,yes,low_color6,low_color3,low_color2,no,no,images/low_nameability/all_shapes/low_shape4_low_color2.png,1,4,150,190
Ruby,low_shape17,filler,no,low_color6,low_color6,low_color3,no,no,images/low_nameability/all_shapes/low_shape17_low_color3.png,1,5,330,194
Ruby,low_shape17,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color6.png,2,6,560,64
Ruby,low_shape4,test,yes,low_color6,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape4_low_color3.png,3,7,95,66
Ruby,low_shape4,test,yes,low_color6,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape4_low_color3.png,2,8,250,64
Naomi,low_shape9,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,2,1,330,194
Naomi,low_shape13,test,yes,low_color1,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape13_low_color2.png,4,2,510,188
Naomi,low_shape9,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,1,3,95,66
Naomi,low_shape13,test,yes,low_color1,low_color2,low_color3,no,no,images/low_nameability/all_shapes/low_shape13_low_color3.png,3,4,250,64
Naomi,low_shape4,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape4_low_color1.png,1,5,405,68
Naomi,low_shape21,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color1.png,1,6,710,70
Naomi,low_shape13,test,yes,low_color1,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape13_low_color2.png,1,7,560,64
Naomi,low_shape13,test,yes,low_color1,low_color2,low_color6,no,no,images/low_nameability/all_shapes/low_shape13_low_color6.png,2,8,150,190
Josephine,low_shape1,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color2.png,2,1,560,64
Josephine,low_shape21,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color2.png,1,2,250,64
Josephine,low_shape7,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape7_low_color1.png,2,3,150,190
Josephine,low_shape7,test,yes,low_color2,low_color1,low_color2,yes,no,images/low_nameability/all_shapes/low_shape7_low_color2.png,4,4,330,194
Josephine,low_shape1,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color2.png,1,5,510,188
Josephine,low_shape13,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape13_low_color2.png,1,6,95,66
Josephine,low_shape7,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape7_low_color1.png,1,7,710,70
Josephine,low_shape7,test,yes,low_color2,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape7_low_color1.png,3,8,405,68
Audrey,low_shape17,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color3.png,2,1,560,64
Audrey,low_shape4,test,yes,low_color3,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape4_low_color6.png,2,2,330,194
Audrey,low_shape4,test,yes,low_color3,low_color6,low_color3,yes,no,images/low_nameability/all_shapes/low_shape4_low_color3.png,4,3,405,68
Audrey,low_shape4,test,yes,low_color3,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape4_low_color6.png,3,4,95,66
Audrey,low_shape1,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color3.png,1,5,150,190
Audrey,low_shape4,test,yes,low_color3,low_color6,low_color2,no,no,images/low_nameability/all_shapes/low_shape4_low_color2.png,1,6,710,70
Audrey,low_shape9,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color3.png,1,7,250,64
Audrey,low_shape17,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color3.png,1,8,510,188
Brooklyn,low_shape21,test,yes,low_color6,low_color3,low_color2,no,no,images/low_nameability/all_shapes/low_shape21_low_color2.png,2,1,95,66
Brooklyn,low_shape17,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color6.png,1,2,560,64
Brooklyn,low_shape4,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape4_low_color6.png,1,3,510,188
Brooklyn,low_shape21,test,yes,low_color6,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape21_low_color3.png,4,4,150,190
Brooklyn,low_shape13,filler,no,low_color6,low_color6,low_color2,no,no,images/low_nameability/all_shapes/low_shape13_low_color2.png,1,5,710,70
Brooklyn,low_shape4,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape4_low_color6.png,2,6,250,64
Brooklyn,low_shape21,test,yes,low_color6,low_color3,low_color6,yes,no,images/low_nameability/all_shapes/low_shape21_low_color6.png,3,7,405,68
Brooklyn,low_shape21,test,yes,low_color6,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape21_low_color3.png,1,8,330,194
Bella,low_shape1,filler,no,low_color1,low_color1,low_color3,no,no,images/low_nameability/all_shapes/low_shape1_low_color3.png,1,1,510,188
Bella,low_shape10,test,yes,low_color1,low_color2,low_color3,no,no,images/low_nameability/all_shapes/low_shape10_low_color3.png,1,2,150,190
Bella,low_shape1,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color1.png,2,3,250,64
Bella,low_shape10,test,yes,low_color1,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape10_low_color2.png,4,4,330,194
Bella,low_shape10,test,yes,low_color1,low_color2,low_color6,no,no,images/low_nameability/all_shapes/low_shape10_low_color6.png,2,5,710,70
Bella,low_shape10,test,yes,low_color1,low_color2,low_color2,no,yes,images/low_nameability/all_shapes/low_shape10_low_color2.png,3,6,405,68
Bella,low_shape17,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color1.png,1,7,95,66
Bella,low_shape4,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape4_low_color1.png,1,8,560,64
Claire,low_shape9,test,yes,low_color2,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape9_low_color6.png,2,1,95,66
Claire,low_shape21,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color2.png,1,2,710,70
Claire,low_shape9,test,yes,low_color2,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape9_low_color6.png,3,3,405,68
Claire,low_shape9,test,yes,low_color2,low_color6,low_color6,no,yes,images/low_nameability/all_shapes/low_shape9_low_color6.png,4,4,250,64
Claire,low_shape21,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape21_low_color2.png,2,5,510,188
Claire,low_shape7,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape7_low_color2.png,1,6,560,64
Claire,low_shape4,filler,no,low_color2,low_color2,low_color2,yes,yes,images/low_nameability/all_shapes/low_shape4_low_color2.png,1,7,150,190
Claire,low_shape9,test,yes,low_color2,low_color6,low_color3,no,no,images/low_nameability/all_shapes/low_shape9_low_color3.png,1,8,330,194
Skylar,low_shape17,test,yes,low_color3,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape17_low_color1.png,2,1,510,188
Skylar,low_shape17,test,yes,low_color3,low_color1,low_color6,no,no,images/low_nameability/all_shapes/low_shape17_low_color6.png,1,2,330,194
Skylar,low_shape4,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape4_low_color3.png,1,3,250,64
Skylar,low_shape17,test,yes,low_color3,low_color1,low_color3,yes,no,images/low_nameability/all_shapes/low_shape17_low_color3.png,3,4,710,70
Skylar,low_shape9,filler,no,low_color3,low_color3,low_color1,no,no,images/low_nameability/all_shapes/low_shape9_low_color1.png,1,5,150,190
Skylar,low_shape1,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape1_low_color3.png,1,6,560,64
Skylar,low_shape17,test,yes,low_color3,low_color1,low_color1,no,yes,images/low_nameability/all_shapes/low_shape17_low_color1.png,4,7,405,68
Skylar,low_shape9,filler,no,low_color3,low_color3,low_color3,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color3.png,2,8,95,66
Lucy,low_shape9,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color6.png,2,1,95,66
Lucy,low_shape9,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color6.png,1,2,710,70
Lucy,low_shape1,test,yes,low_color6,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape1_low_color3.png,1,3,250,64
Lucy,low_shape1,test,yes,low_color6,low_color3,low_color6,yes,no,images/low_nameability/all_shapes/low_shape1_low_color6.png,2,4,560,64
Lucy,low_shape1,test,yes,low_color6,low_color3,low_color3,no,yes,images/low_nameability/all_shapes/low_shape1_low_color3.png,3,5,330,194
Lucy,low_shape10,filler,no,low_color6,low_color6,low_color6,yes,yes,images/low_nameability/all_shapes/low_shape10_low_color6.png,1,6,405,68
Lucy,low_shape7,filler,no,low_color6,low_color6,low_color1,no,no,images/low_nameability/all_shapes/low_shape7_low_color1.png,1,7,510,188
Lucy,low_shape1,test,yes,low_color6,low_color3,low_color2,no,no,images/low_nameability/all_shapes/low_shape1_low_color2.png,4,8,150,190
Paisley,low_shape9,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape9_low_color1.png,1,1,560,64
Paisley,low_shape17,filler,no,low_color1,low_color1,low_color1,yes,yes,images/low_nameability/all_shapes/low_shape17_low_color1.png,2,2,150,190
