trial_id,condition,painter,critical_shape,category_dominant_gabor,critical_shape_dominant_gabor,target_probe_outline,category_induction_gabor,feature_feature_gabor,item1_name,item2_name,item3_name,item4_name,item5_name,item6_name,item7_name,item8_name
trial_011,high_nameability,Isabella,high_shape1,high_color2,high_color1,images/high_nameability/shape_outlines/high_shape1.png,images/high_nameability/colors/high_color2.png,images/high_nameability/colors/high_color1.png,images/high_nameability/all_shapes/high_shape7_high_color1.png,images/high_nameability/all_shapes/high_shape1_high_color5.png,images/high_nameability/all_shapes/high_shape17_high_color2.png,images/high_nameability/all_shapes/high_shape1_high_color2.png,images/high_nameability/all_shapes/high_shape21_high_color2.png,images/high_nameability/all_shapes/high_shape21_high_color2.png,images/high_nameability/all_shapes/high_shape1_high_color1.png,images/high_nameability/all_shapes/high_shape1_high_color1.png
trial_012,low_nameability,Ivy,low_shape10,low_color6,low_color3,images/low_nameability/shape_outlines/low_shape10.png,images/low_nameability/colors/low_color6.png,images/low_nameability/colors/low_color3.png,images/low_nameability/all_shapes/low_shape10_low_color2.png,images/low_nameability/all_shapes/low_shape9_low_color6.png,images/low_nameability/all_shapes/low_shape13_low_color6.png,images/low_nameability/all_shapes/low_shape10_low_color3.png,images/low_nameability/all_shapes/low_shape10_low_color6.png,images/low_nameability/all_shapes/low_shape13_low_color6.png,images/low_nameability/all_shapes/low_shape10_low_color3.png,images/low_nameability/all_shapes/low_shape21_low_color6.png
trial_013,high_nameability,Harper,high_shape9,high_color2,high_color1,images/high_nameability/shape_outlines/high_shape9.png,images/high_nameability/colors/high_color2.png,images/high_nameability/colors/high_color1.png,images/high_nameability/all_shapes/high_shape17_high_color2.png,images/high_nameability/all_shapes/high_shape21_high_color4.png,images/high_nameability/all_shapes/high_shape1_high_color2.png,images/high_nameability/all_shapes/high_shape9_high_color1.png,images/high_nameability/all_shapes/high_shape9_high_color5.png,images/high_nameability/all_shapes/high_shape9_high_color1.png,images/high_nameability/all_shapes/high_shape21_high_color2.png,images/high_nameability/all_shapes/high_shape9_high_color2.png
trial_014,low_nameability,Skylar,low_shape17,low_color3,low_color1,images/low_nameability/shape_outlines/low_shape17.png,images/low_nameability/colors/low_color3.png,images/low_nameability/colors/low_color1.png,images/low_nameability/all_shapes/low_shape17_low_color6.png,images/low_nameability/all_shapes/low_shape9_low_color1.png,images/low_nameability/all_shapes/low_shape17_low_color1.png,images/low_nameability/all_shapes/low_shape9_low_color3.png,images/low_nameability/all_shapes/low_shape1_low_color3.png,images/low_nameability/all_shapes/low_shape17_low_color3.png,images/low_nameability/all_shapes/low_shape4_low_color3.png,images/low_nameability/all_shapes/low_shape17_low_color1.png
trial_015,high_nameability,Mia,high_shape7,high_color4,high_color2,images/high_nameability/shape_outlines/high_shape7.png,images/high_nameability/colors/high_color4.png,images/high_nameability/colors/high_color2.png,images/high_nameability/all_shapes/high_shape7_high_color4.png,images/high_nameability/all_shapes/high_shape7_high_color1.png,images/high_nameability/all_shapes/high_shape17_high_color5.png,images/high_nameability/all_shapes/high_shape4_high_color1.png,images/high_nameability/all_shapes/high_shape7_high_color2.png,images/high_nameability/all_shapes/high_shape10_high_color4.png,images/high_nameability/all_shapes/high_shape7_high_color2.png,images/high_nameability/all_shapes/high_shape10_high_color4.png
trial_016,high_nameability,Grace,high_shape4,high_color4,high_color5,images/high_nameability/shape_outlines/high_shape4.png,images/high_nameability/colors/high_color4.png,images/high_nameability/colors/high_color5.png,images/high_nameability/all_shapes/high_shape21_high_color4.png,images/high_nameability/all_shapes/high_shape4_high_color5.png,images/high_nameability/all_shapes/high_shape4_high_color1.png,images/high_nameability/all_shapes/high_shape10_high_color4.png,images/high_nameability/all_shapes/high_shape4_high_color5.png,images/high_nameability/all_shapes/high_shape4_high_color4.png,images/high_nameability/all_shapes/high_shape21_high_color2.png,images/high_nameability/all_shapes/high_shape13_high_color4.png
trial_017,high_nameability,Chloe,high_shape13,high_color1,high_color5,images/high_nameability/shape_outlines/high_shape13.png,images/high_nameability/colors/high_color1.png,images/high_nameability/colors/high_color5.png,images/high_nameability/all_shapes/high_shape17_high_color1.png,images/high_nameability/all_shapes/high_shape4_high_color2.png,images/high_nameability/all_shapes/high_shape13_high_color1.png,images/high_nameability/all_shapes/high_shape13_high_color5.png,images/high_nameability/all_shapes/high_shape13_high_color5.png,images/high_nameability/all_shapes/high_shape4_high_color1.png,images/high_nameability/all_shapes/high_shape13_high_color2.png,images/high_nameability/all_shapes/high_shape1_high_color1.png
trial_018,low_nameability,Penelope,low_shape21,low_color6,low_color2,images/low_nameability/shape_outlines/low_shape21.png,images/low_nameability/colors/low_color6.png,images/low_nameability/colors/low_color2.png,images/low_nameability/all_shapes/low_shape10_low_color1.png,images/low_nameability/all_shapes/low_shape21_low_color6.png,images/low_nameability/all_shapes/low_shape17_low_color6.png,images/low_nameability/all_shapes/low_shape21_low_color2.png,images/low_nameability/all_shapes/low_shape17_low_color6.png,images/low_nameability/all_shapes/low_shape21_low_color2.png,images/low_nameability/all_shapes/low_shape21_low_color2.png,images/low_nameability/all_shapes/low_shape13_low_color6.png
trial_019,high_nameability,Lily,high_shape1,high_color4,high_color5,images/high_nameability/shape_outlines/high_shape1.png,images/high_nameability/colors/high_color4.png,images/high_nameability/colors/high_color5.png,images/high_nameability/all_shapes/high_shape21_high_color4.png,images/high_nameability/all_shapes/high_shape1_high_color5.png,images/high_nameability/all_shapes/high_shape9_high_color4.png,images/high_nameability/all_shapes/high_shape9_high_color4.png,images/high_nameability/all_shapes/high_shape1_high_color5.png,images/high_nameability/all_shapes/high_shape1_high_color5.png,images/high_nameability/all_shapes/high_shape1_high_color4.png,images/high_nameability/all_shapes/high_shape10_high_color4.png
trial_020,high_nameability,Ava,high_shape9,high_color2,high_color1,images/high_nameability/shape_outlines/high_shape9.png,images/high_nameability/colors/high_color2.png,images/high_nameability/colors/high_color1.png,images/high_nameability/all_shapes/high_shape9_high_color2.png,images/high_nameability/all_shapes/high_shape9_high_color1.png,images/high_nameability/all_shapes/high_shape9_high_color5.png,images/high_nameability/all_shapes/high_shape1_high_color2.png,images/high_nameability/all_shapes/high_shape9_high_color1.png,images/high_nameability/all_shapes/high_shape17_high_color5.png,images/high_nameability/all_shapes/high_shape7_high_color2.png,images/high_nameability/all_shapes/high_shape1_high_color2.png
trial_021,low_nameability,Claire,low_shape9,low_color2,low_color6,images/low_nameability/shape_outlines/low_shape9.png,images/low_nameability/colors/low_color2.png,images/low_nameability/colors/low_color6.png,images/low_nameability/all_shapes/low_shape21_low_color2.png,images/low_nameability/all_shapes/low_shape21_low_color2.png,images/low_nameability/all_shapes/low_shape9_low_color6.png,images/low_nameability/all_shapes/low_shape4_low_color2.png,images/low_nameability/all_shapes/low_shape7_low_color2.png,images/low_nameability/all_shapes/low_shape9_low_color6.png,images/low_nameability/all_shapes/low_shape9_low_color6.png,images/low_nameability/all_shapes/low_shape9_low_color3.png
trial_022,low_nameability,Brooklyn,low_shape21,low_color6,low_color3,images/low_nameability/shape_outlines/low_shape21.png,images/low_nameability/colors/low_color6.png,images/low_nameability/colors/low_color3.png,images/low_nameability/all_shapes/low_shape21_low_color6.png,images/low_nameability/all_shapes/low_shape17_low_color6.png,images/low_nameability/all_shapes/low_shape21_low_color3.png,images/low_nameability/all_shapes/low_shape4_low_color6.png,images/low_nameability/all_shapes/low_shape21_low_color2.png,images/low_nameability/all_shapes/low_shape4_low_color6.png,images/low_nameability/all_shapes/low_shape21_low_color3.png,images/low_nameability/all_shapes/low_shape13_low_color2.png
trial_023,high_nameability,Victoria,high_shape7,high_color2,high_color1,images/high_nameability/shape_outlines/high_shape7.png,images/high_nameability/colors/high_color2.png,images/high_nameability/colors/high_color1.png,images/high_nameability/all_shapes/high_shape9_high_color2.png,images/high_nameability/all_shapes/high_shape7_high_color1.png,images/high_nameability/all_shapes/high_shape7_high_color1.png,images/high_nameability/all_shapes/high_shape10_high_color2.png,images/high_nameability/all_shapes/high_shape7_high_color2.png,images/high_nameability/all_shapes/high_shape10_high_color4.png,images/high_nameability/all_shapes/high_shape7_high_color4.png,images/high_nameability/all_shapes/high_shape1_high_color5.png
trial_024,high_nameability,Luna,high_shape9,high_color2,high_color5,images/high_nameability/shape_outlines/high_shape9.png,images/high_nameability/colors/high_color2.png,images/high_nameability/colors/high_color5.png,images/high_nameability/all_shapes/high_shape21_high_color2.png,images/high_nameability/all_shapes/high_shape21_high_color2.png,images/high_nameability/all_shapes/high_shape9_high_color5.png,images/high_nameability/all_shapes/high_shape4_high_color2.png,images/high_nameability/all_shapes/high_shape7_high_color2.png,images/high_nameability/all_shapes/high_shape9_high_color5.png,images/high_nameability/all_shapes/high_shape9_high_color5.png,images/high_nameability/all_shapes/high_shape9_high_color4.png
trial_025,low_nameability,Nova,low_shape1,low_color3,low_color6,images/low_nameability/shape_outlines/low_shape1.png,images/low_nameability/colors/low_color3.png,images/low_nameability/colors/low_color6.png,images/low_nameability/all_shapes/low_shape21_low_color3.png,images/low_nameability/all_shapes/low_shape1_low_color6.png,images/low_nameability/all_shapes/low_shape9_low_color3.png,images/low_nameability/all_shapes/low_shape9_low_color3.png,images/low_nameability/all_shapes/low_shape1_low_color6.png,images/low_nameability/all_shapes/low_shape1_low_color6.png,images/low_nameability/all_shapes/low_shape1_low_color3.png,images/low_nameability/all_shapes/low_shape10_low_color3.png
trial_026,low_nameability,Abigail,low_shape10,low_color1,low_color3,images/low_nameability/shape_outlines/low_shape10.png,images/low_nameability/colors/low_color1.png,images/low_nameability/colors/low_color3.png,images/low_nameability/all_shapes/low_shape9_low_color1.png,images/low_nameability/all_shapes/low_shape10_low_color3.png,images/low_nameability/all_shapes/low_shape9_low_color2.png,images/low_nameability/all_shapes/low_shape7_low_color1.png,images/low_nameability/all_shapes/low_shape4_low_color1.png,images/low_nameability/all_shapes/low_shape10_low_color1.png,images/low_nameability/all_shapes/low_shape10_low_color3.png,images/low_nameability/all_shapes/low_shape10_low_color3.png
trial_027,high_nameability,Zoey,high_shape21,high_color5,high_color4,images/high_nameability/shape_outlines/high_shape21.png,images/high_nameability/colors/high_color5.png,images/high_nameability/colors/high_color4.png,images/high_nameability/all_shapes/high_shape21_high_color5.png,images/high_nameability/all_shapes/high_shape17_high_color5.png,images/high_nameability/all_shapes/high_shape21_high_color4.png,images/high_nameability/all_shapes/high_shape4_high_color5.png,images/high_nameability/all_shapes/high_shape21_high_color2.png,images/high_nameability/all_shapes/high_shape4_high_color5.png,images/high_nameability/all_shapes/high_shape21_high_color4.png,images/high_nameability/all_shapes/high_shape13_high_color2.png
trial_028,low_nameability,Madison,low_shape4,low_color3,low_color6,images/low_nameability/shape_outlines/low_shape4.png,images/low_nameability/colors/low_color3.png,images/low_nameability/colors/low_color6.png,images/low_nameability/all_shapes/low_shape21_low_color3.png,images/low_nameability/all_shapes/low_shape4_low_color6.png,images/low_nameability/all_shapes/low_shape4_low_color1.png,images/low_nameability/all_shapes/low_shape10_low_color3.png,images/low_nameability/all_shapes/low_shape4_low_color6.png,images/low_nameability/all_shapes/low_shape4_low_color3.png,images/low_nameability/all_shapes/low_shape21_low_color2.png,images/low_nameability/all_shapes/low_shape13_low_color3.png
trial_029,low_nameability,Violet,low_shape21,low_color1,low_color6,images/low_nameability/shape_outlines/low_shape21.png,images/low_nameability/colors/low_color1.png,images/low_nameability/colors/low_color6.png,images/low_nameability/all_shapes/low_shape21_low_color6.png,images/low_nameability/all_shapes/low_shape21_low_color1.png,images/low_nameability/all_shapes/low_shape21_low_color6.png,images/low_nameability/all_shapes/low_shape21_low_color2.png,images/low_nameability/all_shapes/low_shape9_low_color1.png,images/low_nameability/all_shapes/low_shape7_low_color1.png,images/low_nameability/all_shapes/low_shape9_low_color1.png,images/low_nameability/all_shapes/low_shape17_low_color6.png
trial_030,low_nameability,Hazel,low_shape7,low_color2,low_color1,images/low_nameability/shape_outlines/low_shape7.png,images/low_nameability/colors/low_color2.png,images/low_nameability/colors/low_color1.png,images/low_nameability/all_shapes/low_shape9_low_color2.png,images/low_nameability/all_shapes/low_shape7_low_color1.png,images/low_nameability/all_shapes/low_shape7_low_color1.png,images/low_nameability/all_shapes/low_shape10_low_color2.png,images/low_nameability/all_shapes/low_shape7_low_color2.png,images/low_nameability/all_shapes/low_shape10_low_color3.png,images/low_nameability/all_shapes/low_shape7_low_color3.png,images/low_nameability/all_shapes/low_shape1_low_color6.png
trial_031,high_nameability,Sophia,high_shape17,high_color1,high_color4,images/high_nameability/shape_outlines/high_shape17.png,images/high_nameability/colors/high_color1.png,images/high_nameability/colors/high_color4.png,images/high_nameability/all_shapes/high_shape9_high_color1.png,images/high_nameability/all_shapes/high_shape9_high_color1.png,images/high_nameability/all_shapes/high_shape17_high_color4.png,images/high_nameability/all_shapes/high_shape13_high_color1.png,images/high_nameability/all_shapes/high_shape17_high_color1.png,images/high_nameability/all_shapes/high_shape7_high_color1.png,images/high_nameability/all_shapes/high_shape17_high_color5.png,images/high_nameability/all_shapes/high_shape17_high_color4.png
trial_032,low_nameability,Camila,low_shape7,low_color3,low_color2,images/low_nameability/shape_outlines/low_shape7.png,images/low_nameability/colors/low_color3.png,images/low_nameability/colors/low_color2.png,images/low_nameability/all_shapes/low_shape7_low_color3.png,images/low_nameability/all_shapes/low_shape7_low_color1.png,images/low_nameability/all_shapes/low_shape17_low_color6.png,images/low_nameability/all_shapes/low_shape4_low_color1.png,images/low_nameability/all_shapes/low_shape7_low_color2.png,images/low_nameability/all_shapes/low_shape10_low_color3.png,images/low_nameability/all_shapes/low_shape7_low_color2.png,images/low_nameability/all_shapes/low_shape10_low_color3.png
trial_033,high_nameability,Ella,high_shape10,high_color5,high_color4,images/high_nameability/shape_outlines/high_shape10.png,images/high_nameability/colors/high_color5.png,images/high_nameability/colors/high_color4.png,images/high_nameability/all_shapes/high_shape10_high_color2.png,images/high_nameability/all_shapes/high_shape9_high_color5.png,images/high_nameability/all_shapes/high_shape13_high_color5.png,images/high_nameability/all_shapes/high_shape10_high_color4.png,images/high_nameability/all_shapes/high_shape10_high_color5.png,images/high_nameability/all_shapes/high_shape13_high_color5.png,images/high_nameability/all_shapes/high_shape10_high_color4.png,images/high_nameability/all_shapes/high_shape21_high_color5.png
trial_034,low_nameability,Sofia,low_shape9,low_color2,low_color1,images/low_nameability/shape_outlines/low_shape9.png,images/low_nameability/colors/low_color2.png,images/low_nameability/colors/low_color1.png,images/low_nameability/all_shapes/low_shape9_low_color2.png,images/low_nameability/all_shapes/low_shape9_low_color1.png,images/low_nameability/all_shapes/low_shape9_low_color6.png,images/low_nameability/all_shapes/low_shape1_low_color2.png,images/low_nameability/all_shapes/low_shape9_low_color1.png,images/low_nameability/all_shapes/low_shape17_low_color6.png,images/low_nameability/all_shapes/low_shape7_low_color2.png,images/low_nameability/all_shapes/low_shape1_low_color2.png
trial_035,low_nameability,Mila,low_shape9,low_color2,low_color1,images/low_nameability/shape_outlines/low_shape9.png,images/low_nameability/colors/low_color2.png,images/low_nameability/colors/low_color1.png,images/low_nameability/all_shapes/low_shape17_low_color2.png,images/low_nameability/all_shapes/low_shape21_low_color3.png,images/low_nameability/all_shapes/low_shape1_low_color2.png,images/low_nameability/all_shapes/low_shape9_low_color1.png,images/low_nameability/all_shapes/low_shape9_low_color6.png,images/low_nameability/all_shapes/low_shape9_low_color1.png,images/low_nameability/all_shapes/low_shape21_low_color2.png,images/low_nameability/all_shapes/low_shape9_low_color2.png
trial_036,high_nameability,Riley,high_shape4,high_color4,high_color5,images/high_nameability/shape_outlines/high_shape4.png,images/high_nameability/colors/high_color4.png,images/high_nameability/colors/high_color5.png,images/high_nameability/all_shapes/high_shape4_high_color5.png,images/high_nameability/all_shapes/high_shape17_high_color4.png,images/high_nameability/all_shapes/high_shape4_high_color4.png,images/high_nameability/all_shapes/high_shape4_high_color5.png,images/high_nameability/all_shapes/high_shape17_high_color4.png,images/high_nameability/all_shapes/high_shape9_high_color4.png,images/high_nameability/all_shapes/high_shape1_high_color4.png,images/high_nameability/all_shapes/high_shape4_high_color2.png
trial_037,low_nameability,Elizabeth,low_shape13,low_color6,low_color2,images/low_nameability/shape_outlines/low_shape13.png,images/low_nameability/colors/low_color6.png,images/low_nameability/colors/low_color2.png,images/low_nameability/all_shapes/low_shape13_low_color2.png,images/low_nameability/all_shapes/low_shape1_low_color6.png,images/low_nameability/all_shapes/low_shape13_low_color6.png,images/low_nameability/all_shapes/low_shape13_low_color2.png,images/low_nameability/all_shapes/low_shape1_low_color6.png,images/low_nameability/all_shapes/low_shape17_low_color6.png,images/low_nameability/all_shapes/low_shape9_low_color6.png,images/low_nameability/all_shapes/low_shape13_low_color2.png
trial_038,high_nameability,Aria,high_shape17,high_color4,high_color2,images/high_nameability/shape_outlines/high_shape17.png,images/high_nameability/colors/high_color4.png,images/high_nameability/colors/high_color2.png,images/high_nameability/all_shapes/high_shape21_high_color4.png,images/high_nameability/all_shapes/high_shape7_high_color4.png,images/high_nameability/all_shapes/high_shape7_high_color4.png,images/high_nameability/all_shapes/high_shape9_high_color5.png,images/high_nameability/all_shapes/high_shape17_high_color2.png,images/high_nameability/all_shapes/high_shape17_high_color4.png,images/high_nameability/all_shapes/high_shape17_high_color2.png,images/high_nameability/all_shapes/high_shape17_high_color2.png
trial_039,low_nameability,Bella,low_shape10,low_color1,low_color2,images/low_nameability/shape_outlines/low_shape10.png,images/low_nameability/colors/low_color1.png,images/low_nameability/colors/low_color2.png,images/low_nameability/all_shapes/low_shape4_low_color1.png,images/low_nameability/all_shapes/low_shape10_low_color2.png,images/low_nameability/all_shapes/low_shape1_low_color3.png,images/low_nameability/all_shapes/low_shape17_low_color1.png,images/low_nameability/all_shapes/low_shape10_low_color2.png,images/low_nameability/all_shapes/low_shape10_low_color6.png,images/low_nameability/all_shapes/low_shape10_low_color3.png,images/low_nameability/all_shapes/low_shape1_low_color1.png
trial_040,low_nameability,Audrey,low_shape4,low_color3,low_color6,images/low_nameability/shape_outlines/low_shape4.png,images/low_nameability/colors/low_color3.png,images/low_nameability/colors/low_color6.png,images/low_nameability/all_shapes/low_shape4_low_color6.png,images/low_nameability/all_shapes/low_shape17_low_color3.png,images/low_nameability/all_shapes/low_shape4_low_color3.png,images/low_nameability/all_shapes/low_shape4_low_color6.png,images/low_nameability/all_shapes/low_shape17_low_color3.png,images/low_nameability/all_shapes/low_shape9_low_color3.png,images/low_nameability/all_shapes/low_shape1_low_color3.png,images/low_nameability/all_shapes/low_shape4_low_color2.png
trial_041,high_nameability,Amelia,high_shape21,high_color1,high_color5,images/high_nameability/shape_outlines/high_shape21.png,images/high_nameability/colors/high_color1.png,images/high_nameability/colors/high_color5.png,images/high_nameability/all_shapes/high_shape21_high_color5.png,images/high_nameability/all_shapes/high_shape21_high_color1.png,images/high_nameability/all_shapes/high_shape21_high_color5.png,images/high_nameability/all_shapes/high_shape21_high_color2.png,images/high_nameability/all_shapes/high_shape9_high_color1.png,images/high_nameability/all_shapes/high_shape7_high_color1.png,images/high_nameability/all_shapes/high_shape9_high_color1.png,images/high_nameability/all_shapes/high_shape17_high_color5.png
trial_042,low_nameability,Ruby,low_shape4,low_color6,low_color3,images/low_nameability/shape_outlines/low_shape4.png,images/low_nameability/colors/low_color6.png,images/low_nameability/colors/low_color3.png,images/low_nameability/all_shapes/low_shape1_low_color6.png,images/low_nameability/all_shapes/low_shape4_low_color6.png,images/low_nameability/all_shapes/low_shape17_low_color3.png,images/low_nameability/all_shapes/low_shape17_low_color6.png,images/low_nameability/all_shapes/low_shape13_low_color6.png,images/low_nameability/all_shapes/low_shape4_low_color3.png,images/low_nameability/all_shapes/low_shape4_low_color2.png,images/low_nameability/all_shapes/low_shape4_low_color3.png
trial_043,high_nameability,Scarlett,high_shape4,high_color5,high_color4,images/high_nameability/shape_outlines/high_shape4.png,images/high_nameability/colors/high_color5.png,images/high_nameability/colors/high_color4.png,images/high_nameability/all_shapes/high_shape1_high_color5.png,images/high_nameability/all_shapes/high_shape4_high_color5.png,images/high_nameability/all_shapes/high_shape17_high_color4.png,images/high_nameability/all_shapes/high_shape17_high_color5.png,images/high_nameability/all_shapes/high_shape13_high_color5.png,images/high_nameability/all_shapes/high_shape4_high_color4.png,images/high_nameability/all_shapes/high_shape4_high_color2.png,images/high_nameability/all_shapes/high_shape4_high_color4.png
trial_044,high_nameability,Aurora,high_shape1,high_color5,high_color4,images/high_nameability/shape_outlines/high_shape1.png,images/high_nameability/colors/high_color5.png,images/high_nameability/colors/high_color4.png,images/high_nameability/all_shapes/high_shape7_high_color1.png,images/high_nameability/all_shapes/high_shape1_high_color2.png,images/high_nameability/all_shapes/high_shape9_high_color5.png,images/high_nameability/all_shapes/high_shape1_high_color5.png,images/high_nameability/all_shapes/high_shape10_high_color5.png,images/high_nameability/all_shapes/high_shape9_high_color5.png,images/high_nameability/all_shapes/high_shape1_high_color4.png,images/high_nameability/all_shapes/high_shape1_high_color4.png
