painter,shape,shape_role,is_test_shape,general_dominant_frequency,shape_dominant_frequency,actual_frequency,actual_frequency_cycles,uses_general_dominant,uses_shape_dominant,image,repeat_inside_shape,single_category_example_number,single_category_x_position,single_category_y_position
Sophia,grace_shape,test,yes,F1,F4,F4,20,no,yes,images/v6_clear_frequency_shapes/grace_shape_F4_20cycles.png,1,8,710,70
Ava,flower_shape,filler,no,F2,F2,F4,20,no,no,images/v6_clear_frequency_shapes/flower_shape_F4_20cycles.png,1,1,330,194
Ava,olivia_shape,test,yes,F2,F1,F1,2,no,yes,images/v6_clear_frequency_shapes/olivia_shape_F1_2cycles.png,1,2,510,188
Ava,olivia_shape,test,yes,F2,F1,F1,2,no,yes,images/v6_clear_frequency_shapes/olivia_shape_F1_2cycles.png,2,3,560,64
Ava,olivia_shape,test,yes,F2,F1,F2,5,yes,no,images/v6_clear_frequency_shapes/olivia_shape_F2_5cycles.png,4,4,250,64
Ava,blocky_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/blocky_shape_F2_5cycles.png,1,5,150,190
Ava,olivia_shape,test,yes,F2,F1,F1,2,no,yes,images/v6_clear_frequency_shapes/olivia_shape_F1_2cycles.png,3,6,710,70
Ava,blocky_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/blocky_shape_F2_5cycles.png,2,7,95,66
Ava,flower_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/flower_shape_F2_5cycles.png,2,8,405,68
Mia,flower_shape,test,yes,F3,F2,F2,5,no,yes,images/v6_clear_frequency_shapes/flower_shape_F2_5cycles.png,3,1,560,64
Mia,blocky_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/blocky_shape_F3_10cycles.png,2,2,330,194
Mia,flower_shape,test,yes,F3,F2,F2,5,no,yes,images/v6_clear_frequency_shapes/flower_shape_F2_5cycles.png,1,3,710,70
Mia,blocky_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/blocky_shape_F3_10cycles.png,1,4,95,66
Mia,branch_shape,filler,no,F3,F3,F1,2,no,no,images/v6_clear_frequency_shapes/branch_shape_F1_2cycles.png,1,5,510,188
Mia,blocky_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/blocky_shape_F3_10cycles.png,3,6,150,190
Mia,flower_shape,test,yes,F3,F2,F2,5,no,yes,images/v6_clear_frequency_shapes/flower_shape_F2_5cycles.png,2,7,405,68
Mia,branch_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/branch_shape_F3_10cycles.png,2,8,250,64
Charlotte,emily_shape,filler,no,F4,F4,F2,5,no,no,images/v6_clear_frequency_shapes/emily_shape_F2_5cycles.png,2,1,710,70
Charlotte,blocky_shape,test,yes,F4,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/blocky_shape_F3_10cycles.png,2,2,95,66
Charlotte,blocky_shape,test,yes,F4,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/blocky_shape_F3_10cycles.png,1,3,560,64
Charlotte,blocky_shape,test,yes,F4,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/blocky_shape_F3_10cycles.png,3,4,330,194
Charlotte,olivia_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/olivia_shape_F4_20cycles.png,2,5,250,64
Charlotte,emily_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/emily_shape_F4_20cycles.png,3,6,150,190
Charlotte,olivia_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/olivia_shape_F4_20cycles.png,1,7,510,188
Charlotte,emily_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/emily_shape_F4_20cycles.png,1,8,405,68
Amelia,mushroom_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/mushroom_shape_F1_2cycles.png,1,1,330,194
Amelia,branch_shape,test,yes,F1,F4,F4,20,no,yes,images/v6_clear_frequency_shapes/branch_shape_F4_20cycles.png,2,2,405,68
Amelia,mushroom_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/mushroom_shape_F1_2cycles.png,2,3,95,66
Amelia,branch_shape,test,yes,F1,F4,F4,20,no,yes,images/v6_clear_frequency_shapes/branch_shape_F4_20cycles.png,1,4,510,188
Amelia,grace_shape,filler,no,F1,F1,F2,5,no,no,images/v6_clear_frequency_shapes/grace_shape_F2_5cycles.png,1,5,560,64
Amelia,branch_shape,test,yes,F1,F4,F1,2,yes,no,images/v6_clear_frequency_shapes/branch_shape_F1_2cycles.png,3,6,250,64
Amelia,grace_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/grace_shape_F1_2cycles.png,2,7,150,190
Amelia,branch_shape,test,yes,F1,F4,F4,20,no,yes,images/v6_clear_frequency_shapes/branch_shape_F4_20cycles.png,4,8,710,70
Harper,flower_shape,test,yes,F2,F1,F1,2,no,yes,images/v6_clear_frequency_shapes/flower_shape_F1_2cycles.png,3,1,510,188
Harper,branch_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/branch_shape_F2_5cycles.png,2,2,250,64
Harper,flower_shape,test,yes,F2,F1,F1,2,no,yes,images/v6_clear_frequency_shapes/flower_shape_F1_2cycles.png,1,3,710,70
Harper,emily_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/emily_shape_F2_5cycles.png,2,4,150,190
Harper,emily_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/emily_shape_F2_5cycles.png,1,5,560,64
Harper,branch_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/branch_shape_F2_5cycles.png,1,6,330,194
Harper,flower_shape,test,yes,F2,F1,F1,2,no,yes,images/v6_clear_frequency_shapes/flower_shape_F1_2cycles.png,2,7,405,68
Harper,emily_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/emily_shape_F2_5cycles.png,3,8,95,66
Lily,mushroom_shape,test,yes,F3,F2,F2,5,no,yes,images/v6_clear_frequency_shapes/mushroom_shape_F2_5cycles.png,1,1,560,64
Lily,blocky_shape,filler,no,F3,F3,F1,2,no,no,images/v6_clear_frequency_shapes/blocky_shape_F1_2cycles.png,1,2,250,64
Lily,olivia_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/olivia_shape_F3_10cycles.png,2,3,710,70
Lily,mushroom_shape,test,yes,F3,F2,F3,10,yes,no,images/v6_clear_frequency_shapes/mushroom_shape_F3_10cycles.png,3,4,330,194
Lily,mushroom_shape,test,yes,F3,F2,F2,5,no,yes,images/v6_clear_frequency_shapes/mushroom_shape_F2_5cycles.png,2,5,95,66
Lily,olivia_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/olivia_shape_F3_10cycles.png,1,6,405,68
Lily,blocky_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/blocky_shape_F3_10cycles.png,2,7,150,190
Lily,mushroom_shape,test,yes,F3,F2,F2,5,no,yes,images/v6_clear_frequency_shapes/mushroom_shape_F2_5cycles.png,4,8,510,188
Ella,mushroom_shape,filler,no,F4,F4,F2,5,no,no,images/v6_clear_frequency_shapes/mushroom_shape_F2_5cycles.png,2,1,150,190
Ella,isabella_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/isabella_shape_F4_20cycles.png,2,2,560,64
Ella,grace_shape,test,yes,F4,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/grace_shape_F3_10cycles.png,1,3,330,194
Ella,isabella_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/isabella_shape_F4_20cycles.png,3,4,510,188
Ella,grace_shape,test,yes,F4,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/grace_shape_F3_10cycles.png,2,5,405,68
Ella,mushroom_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/mushroom_shape_F4_20cycles.png,1,6,710,70
Ella,grace_shape,test,yes,F4,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/grace_shape_F3_10cycles.png,3,7,95,66
Ella,isabella_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/isabella_shape_F4_20cycles.png,1,8,250,64
Chloe,olivia_shape,test,yes,F1,F2,F2,5,no,yes,images/v6_clear_frequency_shapes/olivia_shape_F2_5cycles.png,3,1,95,66
Chloe,isabella_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/isabella_shape_F1_2cycles.png,3,2,510,188
Chloe,isabella_shape,filler,no,F1,F1,F3,10,no,no,images/v6_clear_frequency_shapes/isabella_shape_F3_10cycles.png,1,3,710,70
Chloe,mushroom_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/mushroom_shape_F1_2cycles.png,2,4,150,190
Chloe,olivia_shape,test,yes,F1,F2,F2,5,no,yes,images/v6_clear_frequency_shapes/olivia_shape_F2_5cycles.png,2,5,250,64
Chloe,mushroom_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/mushroom_shape_F1_2cycles.png,1,6,560,64
Chloe,isabella_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/isabella_shape_F1_2cycles.png,2,7,330,194
Chloe,olivia_shape,test,yes,F1,F2,F2,5,no,yes,images/v6_clear_frequency_shapes/olivia_shape_F2_5cycles.png,1,8,405,68
Victoria,flower_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/flower_shape_F2_5cycles.png,1,1,405,68
Victoria,branch_shape,filler,no,F2,F2,F4,20,no,no,images/v6_clear_frequency_shapes/branch_shape_F4_20cycles.png,1,2,560,64
Victoria,isabella_shape,test,yes,F2,F3,F2,5,yes,no,images/v6_clear_frequency_shapes/isabella_shape_F2_5cycles.png,3,3,150,190
Victoria,isabella_shape,test,yes,F2,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/isabella_shape_F3_10cycles.png,1,4,710,70
Victoria,isabella_shape,test,yes,F2,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/isabella_shape_F3_10cycles.png,2,5,250,64
Victoria,isabella_shape,test,yes,F2,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/isabella_shape_F3_10cycles.png,4,6,95,66
Victoria,flower_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/flower_shape_F2_5cycles.png,2,7,330,194
Victoria,branch_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/branch_shape_F2_5cycles.png,2,8,510,188
Aria,emily_shape,test,yes,F3,F1,F1,2,no,yes,images/v6_clear_frequency_shapes/emily_shape_F1_2cycles.png,2,1,150,190
Aria,grace_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/grace_shape_F3_10cycles.png,3,2,95,66
Aria,olivia_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/olivia_shape_F3_10cycles.png,1,3,405,68
Aria,grace_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/grace_shape_F3_10cycles.png,2,4,250,64
Aria,olivia_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/olivia_shape_F3_10cycles.png,2,5,560,64
Aria,emily_shape,test,yes,F3,F1,F1,2,no,yes,images/v6_clear_frequency_shapes/emily_shape_F1_2cycles.png,1,6,330,194
Aria,emily_shape,test,yes,F3,F1,F1,2,no,yes,images/v6_clear_frequency_shapes/emily_shape_F1_2cycles.png,3,7,510,188
Aria,grace_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/grace_shape_F3_10cycles.png,1,8,710,70
Scarlett,blocky_shape,test,yes,F4,F1,F1,2,no,yes,images/v6_clear_frequency_shapes/blocky_shape_F1_2cycles.png,3,1,710,70
Scarlett,branch_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/branch_shape_F4_20cycles.png,1,2,510,188
Scarlett,blocky_shape,test,yes,F4,F1,F1,2,no,yes,images/v6_clear_frequency_shapes/blocky_shape_F1_2cycles.png,1,3,405,68
Scarlett,branch_shape,filler,no,F4,F4,F3,10,no,no,images/v6_clear_frequency_shapes/branch_shape_F3_10cycles.png,2,4,150,190
Scarlett,isabella_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/isabella_shape_F4_20cycles.png,1,5,330,194
Scarlett,blocky_shape,test,yes,F4,F1,F1,2,no,yes,images/v6_clear_frequency_shapes/blocky_shape_F1_2cycles.png,4,6,560,64
Scarlett,blocky_shape,test,yes,F4,F1,F4,20,yes,no,images/v6_clear_frequency_shapes/blocky_shape_F4_20cycles.png,2,7,95,66
Scarlett,isabella_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/isabella_shape_F4_20cycles.png,2,8,250,64
Layla,grace_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/grace_shape_F1_2cycles.png,3,1,330,194
Layla,olivia_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/olivia_shape_F1_2cycles.png,1,2,510,188
Layla,flower_shape,test,yes,F1,F4,F4,20,no,yes,images/v6_clear_frequency_shapes/flower_shape_F4_20cycles.png,2,3,95,66
Layla,grace_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/grace_shape_F1_2cycles.png,2,4,250,64
Layla,olivia_shape,filler,no,F1,F1,F2,5,no,no,images/v6_clear_frequency_shapes/olivia_shape_F2_5cycles.png,2,5,405,68
Layla,grace_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/grace_shape_F1_2cycles.png,1,6,710,70
Layla,flower_shape,test,yes,F1,F4,F4,20,no,yes,images/v6_clear_frequency_shapes/flower_shape_F4_20cycles.png,3,7,560,64
Layla,flower_shape,test,yes,F1,F4,F4,20,no,yes,images/v6_clear_frequency_shapes/flower_shape_F4_20cycles.png,1,8,150,190
Nora,flower_shape,filler,no,F2,F2,F3,10,no,no,images/v6_clear_frequency_shapes/flower_shape_F3_10cycles.png,1,1,560,64
Nora,flower_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/flower_shape_F2_5cycles.png,2,2,250,64
Nora,blocky_shape,test,yes,F2,F4,F4,20,no,yes,images/v6_clear_frequency_shapes/blocky_shape_F4_20cycles.png,1,3,150,190
Nora,mushroom_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/mushroom_shape_F2_5cycles.png,1,4,330,194
Nora,blocky_shape,test,yes,F2,F4,F4,20,no,yes,images/v6_clear_frequency_shapes/blocky_shape_F4_20cycles.png,3,5,510,188
Nora,blocky_shape,test,yes,F2,F4,F4,20,no,yes,images/v6_clear_frequency_shapes/blocky_shape_F4_20cycles.png,2,6,95,66
Nora,mushroom_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/mushroom_shape_F2_5cycles.png,2,7,710,70
Nora,flower_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/flower_shape_F2_5cycles.png,3,8,405,68
Riley,mushroom_shape,test,yes,F3,F2,F2,5,no,yes,images/v6_clear_frequency_shapes/mushroom_shape_F2_5cycles.png,1,1,560,64
Riley,olivia_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/olivia_shape_F3_10cycles.png,2,2,330,194
Riley,olivia_shape,filler,no,F3,F3,F1,2,no,no,images/v6_clear_frequency_shapes/olivia_shape_F1_2cycles.png,1,3,405,68
Riley,mushroom_shape,test,yes,F3,F2,F2,5,no,yes,images/v6_clear_frequency_shapes/mushroom_shape_F2_5cycles.png,4,4,95,66
Riley,mushroom_shape,test,yes,F3,F2,F3,10,yes,no,images/v6_clear_frequency_shapes/mushroom_shape_F3_10cycles.png,3,5,150,190
Riley,mushroom_shape,test,yes,F3,F2,F2,5,no,yes,images/v6_clear_frequency_shapes/mushroom_shape_F2_5cycles.png,2,6,710,70
Riley,branch_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/branch_shape_F3_10cycles.png,2,7,250,64
Riley,branch_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/branch_shape_F3_10cycles.png,1,8,510,188
Zoey,isabella_shape,test,yes,F4,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/isabella_shape_F3_10cycles.png,3,1,95,66
Zoey,flower_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/flower_shape_F4_20cycles.png,1,2,560,64
Zoey,grace_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/grace_shape_F4_20cycles.png,1,3,510,188
Zoey,grace_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/grace_shape_F4_20cycles.png,3,4,150,190
Zoey,isabella_shape,test,yes,F4,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/isabella_shape_F3_10cycles.png,1,5,710,70
Zoey,flower_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/flower_shape_F4_20cycles.png,2,6,250,64
Zoey,isabella_shape,test,yes,F4,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/isabella_shape_F3_10cycles.png,2,7,405,68
Zoey,grace_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/grace_shape_F4_20cycles.png,2,8,330,194
Hannah,blocky_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/blocky_shape_F1_2cycles.png,1,1,510,188
Hannah,blocky_shape,filler,no,F1,F1,F2,5,no,no,images/v6_clear_frequency_shapes/blocky_shape_F2_5cycles.png,2,2,150,190
Hannah,grace_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/grace_shape_F1_2cycles.png,1,3,250,64
Hannah,emily_shape,test,yes,F1,F3,F1,2,yes,no,images/v6_clear_frequency_shapes/emily_shape_F1_2cycles.png,2,4,330,194
Hannah,grace_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/grace_shape_F1_2cycles.png,2,5,710,70
Hannah,emily_shape,test,yes,F1,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/emily_shape_F3_10cycles.png,3,6,405,68
Hannah,emily_shape,test,yes,F1,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/emily_shape_F3_10cycles.png,1,7,95,66
Hannah,emily_shape,test,yes,F1,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/emily_shape_F3_10cycles.png,4,8,560,64
Luna,isabella_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/isabella_shape_F2_5cycles.png,1,1,95,66
Luna,blocky_shape,filler,no,F2,F2,F4,20,no,no,images/v6_clear_frequency_shapes/blocky_shape_F4_20cycles.png,2,2,710,70
Luna,isabella_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/isabella_shape_F2_5cycles.png,3,3,405,68
Luna,branch_shape,test,yes,F2,F1,F1,2,no,yes,images/v6_clear_frequency_shapes/branch_shape_F1_2cycles.png,3,4,250,64
Luna,branch_shape,test,yes,F2,F1,F1,2,no,yes,images/v6_clear_frequency_shapes/branch_shape_F1_2cycles.png,2,5,510,188
Luna,blocky_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/blocky_shape_F2_5cycles.png,1,6,560,64
Luna,branch_shape,test,yes,F2,F1,F1,2,no,yes,images/v6_clear_frequency_shapes/branch_shape_F1_2cycles.png,1,7,150,190
Luna,isabella_shape,filler,no,F2,F2,F2,5,yes,yes,images/v6_clear_frequency_shapes/isabella_shape_F2_5cycles.png,2,8,330,194
Stella,emily_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/emily_shape_F3_10cycles.png,1,1,510,188
Stella,branch_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/branch_shape_F3_10cycles.png,2,2,330,194
Stella,grace_shape,test,yes,F3,F4,F4,20,no,yes,images/v6_clear_frequency_shapes/grace_shape_F4_20cycles.png,3,3,250,64
Stella,branch_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/branch_shape_F3_10cycles.png,1,4,710,70
Stella,grace_shape,test,yes,F3,F4,F4,20,no,yes,images/v6_clear_frequency_shapes/grace_shape_F4_20cycles.png,1,5,150,190
Stella,emily_shape,filler,no,F3,F3,F3,10,yes,yes,images/v6_clear_frequency_shapes/emily_shape_F3_10cycles.png,2,6,560,64
Stella,emily_shape,filler,no,F3,F3,F1,2,no,no,images/v6_clear_frequency_shapes/emily_shape_F1_2cycles.png,3,7,405,68
Stella,grace_shape,test,yes,F3,F4,F4,20,no,yes,images/v6_clear_frequency_shapes/grace_shape_F4_20cycles.png,2,8,95,66
Aurora,grace_shape,filler,no,F4,F4,F3,10,no,no,images/v6_clear_frequency_shapes/grace_shape_F3_10cycles.png,2,1,95,66
Aurora,flower_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/flower_shape_F4_20cycles.png,2,2,710,70
Aurora,olivia_shape,test,yes,F4,F2,F2,5,no,yes,images/v6_clear_frequency_shapes/olivia_shape_F2_5cycles.png,4,3,250,64
Aurora,flower_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/flower_shape_F4_20cycles.png,1,4,560,64
