painter,shape,shape_role,is_test_shape,general_dominant_frequency,shape_dominant_frequency,actual_frequency,uses_general_dominant,uses_shape_dominant,image,repeat_inside_shape,actual_frequency_cycles,single_category_example_number,single_category_x_position,single_category_y_position
Ava,shape4,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape4_gabor1.png,3,2,6,710,70
Ava,shape3,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape3_gabor2.png,1,5,7,95,66
Ava,shape1,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape1_gabor2.png,2,5,8,405,68
Mia,shape5,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape5_gabor3.png,2,10,1,560,64
Mia,shape3,test,yes,gabor3,gabor2,gabor1,no,no,images/all_shapes/shape3_gabor1.png,1,2,2,330,194
Mia,shape3,test,yes,gabor3,gabor2,gabor2,no,yes,images/all_shapes/shape3_gabor2.png,3,5,3,710,70
Mia,shape2,filler,no,gabor3,gabor3,gabor1,no,no,images/all_shapes/shape2_gabor1.png,1,2,4,95,66
Mia,shape7,filler,no,gabor3,gabor3,gabor4,no,no,images/all_shapes/shape7_gabor4.png,1,20,5,510,188
Mia,shape5,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape5_gabor3.png,1,10,6,150,190
Mia,shape3,test,yes,gabor3,gabor2,gabor2,no,yes,images/all_shapes/shape3_gabor2.png,4,5,7,405,68
Mia,shape3,test,yes,gabor3,gabor2,gabor3,yes,no,images/all_shapes/shape3_gabor3.png,2,10,8,250,64
Charlotte,shape8,test,yes,gabor4,gabor2,gabor2,no,yes,images/all_shapes/shape8_gabor2.png,4,5,1,710,70
Charlotte,shape8,test,yes,gabor4,gabor2,gabor2,no,yes,images/all_shapes/shape8_gabor2.png,2,5,2,95,66
Charlotte,shape7,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape7_gabor4.png,2,20,3,560,64
Charlotte,shape8,test,yes,gabor4,gabor2,gabor2,no,yes,images/all_shapes/shape8_gabor2.png,1,5,4,330,194
Charlotte,shape8,test,yes,gabor4,gabor2,gabor4,yes,no,images/all_shapes/shape8_gabor4.png,3,20,5,250,64
Charlotte,shape7,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape7_gabor4.png,1,20,6,150,190
Charlotte,shape6,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape6_gabor4.png,1,20,7,510,188
Charlotte,shape5,filler,no,gabor4,gabor4,gabor1,no,no,images/all_shapes/shape5_gabor1.png,1,2,8,405,68
Amelia,shape7,filler,no,gabor1,gabor1,gabor4,no,no,images/all_shapes/shape7_gabor4.png,1,20,1,330,194
Amelia,shape8,test,yes,gabor1,gabor4,gabor4,no,yes,images/all_shapes/shape8_gabor4.png,2,20,2,405,68
Amelia,shape3,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape3_gabor1.png,1,2,3,95,66
Amelia,shape8,test,yes,gabor1,gabor4,gabor4,no,yes,images/all_shapes/shape8_gabor4.png,4,20,4,510,188
Amelia,shape4,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape4_gabor1.png,2,2,5,560,64
Amelia,shape8,test,yes,gabor1,gabor4,gabor1,yes,no,images/all_shapes/shape8_gabor1.png,3,2,6,250,64
Amelia,shape8,test,yes,gabor1,gabor4,gabor2,no,no,images/all_shapes/shape8_gabor2.png,1,5,7,150,190
Amelia,shape4,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape4_gabor1.png,1,2,8,710,70
Harper,shape8,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape8_gabor2.png,2,5,1,510,188
Harper,shape4,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape4_gabor1.png,2,2,2,250,64
Harper,shape4,test,yes,gabor2,gabor1,gabor2,yes,no,images/all_shapes/shape4_gabor2.png,4,5,3,710,70
Harper,shape1,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape1_gabor2.png,1,5,4,150,190
Harper,shape8,filler,no,gabor2,gabor2,gabor3,no,no,images/all_shapes/shape8_gabor3.png,1,10,5,560,64
Harper,shape4,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape4_gabor1.png,3,2,6,330,194
Harper,shape4,test,yes,gabor2,gabor1,gabor4,no,no,images/all_shapes/shape4_gabor4.png,1,20,7,405,68
Harper,shape7,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape7_gabor2.png,1,5,8,95,66
Lily,shape1,test,yes,gabor3,gabor4,gabor4,no,yes,images/all_shapes/shape1_gabor4.png,1,20,1,560,64
Lily,shape1,test,yes,gabor3,gabor4,gabor3,yes,no,images/all_shapes/shape1_gabor3.png,2,10,2,250,64
Lily,shape4,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape4_gabor3.png,1,10,3,710,70
Lily,shape1,test,yes,gabor3,gabor4,gabor4,no,yes,images/all_shapes/shape1_gabor4.png,3,20,4,330,194
Lily,shape5,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape5_gabor3.png,1,10,5,95,66
Lily,shape8,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape8_gabor3.png,1,10,6,405,68
Lily,shape4,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape4_gabor3.png,2,10,7,150,190
Lily,shape1,test,yes,gabor3,gabor4,gabor4,no,yes,images/all_shapes/shape1_gabor4.png,4,20,8,510,188
Ella,shape6,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape6_gabor4.png,2,20,1,150,190
Ella,shape5,test,yes,gabor4,gabor3,gabor3,no,yes,images/all_shapes/shape5_gabor3.png,2,10,2,560,64
Ella,shape4,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape4_gabor4.png,1,20,3,330,194
Ella,shape5,test,yes,gabor4,gabor3,gabor3,no,yes,images/all_shapes/shape5_gabor3.png,4,10,4,510,188
Ella,shape8,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape8_gabor4.png,1,20,5,405,68
Ella,shape5,test,yes,gabor4,gabor3,gabor4,yes,no,images/all_shapes/shape5_gabor4.png,1,20,6,710,70
Ella,shape6,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape6_gabor4.png,1,20,7,95,66
Ella,shape5,test,yes,gabor4,gabor3,gabor2,no,no,images/all_shapes/shape5_gabor2.png,3,5,8,250,64
Chloe,shape6,test,yes,gabor1,gabor4,gabor4,no,yes,images/all_shapes/shape6_gabor4.png,4,20,1,95,66
Chloe,shape2,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape2_gabor1.png,2,2,2,510,188
Chloe,shape1,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape1_gabor1.png,1,2,3,710,70
Chloe,shape6,test,yes,gabor1,gabor4,gabor2,no,no,images/all_shapes/shape6_gabor2.png,2,5,4,150,190
Chloe,shape6,test,yes,gabor1,gabor4,gabor4,no,yes,images/all_shapes/shape6_gabor4.png,3,20,5,250,64
Chloe,shape7,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape7_gabor1.png,1,2,6,560,64
Chloe,shape2,filler,no,gabor1,gabor1,gabor2,no,no,images/all_shapes/shape2_gabor2.png,1,5,7,330,194
Chloe,shape6,test,yes,gabor1,gabor4,gabor1,yes,no,images/all_shapes/shape6_gabor1.png,1,2,8,405,68
Victoria,shape3,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape3_gabor1.png,1,2,1,405,68
Victoria,shape3,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape3_gabor1.png,4,2,2,560,64
Victoria,shape1,filler,no,gabor2,gabor2,gabor4,no,no,images/all_shapes/shape1_gabor4.png,1,20,3,150,190
Victoria,shape5,filler,no,gabor2,gabor2,gabor3,no,no,images/all_shapes/shape5_gabor3.png,1,10,4,710,70
Victoria,shape3,test,yes,gabor2,gabor1,gabor2,yes,no,images/all_shapes/shape3_gabor2.png,2,5,5,250,64
Victoria,shape5,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape5_gabor2.png,2,5,6,95,66
Victoria,shape3,test,yes,gabor2,gabor1,gabor3,no,no,images/all_shapes/shape3_gabor3.png,3,10,7,330,194
Victoria,shape4,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape4_gabor2.png,1,5,8,510,188
Aria,shape3,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape3_gabor3.png,1,10,1,150,190
Aria,shape7,test,yes,gabor3,gabor2,gabor3,yes,no,images/all_shapes/shape7_gabor3.png,2,10,2,95,66
Aria,shape4,filler,no,gabor3,gabor3,gabor4,no,no,images/all_shapes/shape4_gabor4.png,1,20,3,405,68
Aria,shape7,test,yes,gabor3,gabor2,gabor2,no,yes,images/all_shapes/shape7_gabor2.png,4,5,4,250,64
Aria,shape8,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape8_gabor3.png,1,10,5,560,64
Aria,shape3,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape3_gabor3.png,2,10,6,330,194
Aria,shape7,test,yes,gabor3,gabor2,gabor2,no,yes,images/all_shapes/shape7_gabor2.png,3,5,7,510,188
Aria,shape7,test,yes,gabor3,gabor2,gabor2,no,yes,images/all_shapes/shape7_gabor2.png,1,5,8,710,70
Scarlett,shape1,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape1_gabor4.png,1,20,1,710,70
Scarlett,shape2,test,yes,gabor4,gabor3,gabor4,yes,no,images/all_shapes/shape2_gabor4.png,4,20,2,510,188
Scarlett,shape6,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape6_gabor4.png,1,20,3,405,68
Scarlett,shape2,test,yes,gabor4,gabor3,gabor2,no,no,images/all_shapes/shape2_gabor2.png,1,5,4,150,190
Scarlett,shape7,filler,no,gabor4,gabor4,gabor3,no,no,images/all_shapes/shape7_gabor3.png,1,10,5,330,194
Scarlett,shape7,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape7_gabor4.png,2,20,6,560,64
Scarlett,shape2,test,yes,gabor4,gabor3,gabor3,no,yes,images/all_shapes/shape2_gabor3.png,3,10,7,95,66
Scarlett,shape2,test,yes,gabor4,gabor3,gabor3,no,yes,images/all_shapes/shape2_gabor3.png,2,10,8,250,64
Layla,shape4,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape4_gabor1.png,2,2,1,330,194
Layla,shape6,test,yes,gabor1,gabor2,gabor2,no,yes,images/all_shapes/shape6_gabor2.png,4,5,2,510,188
Layla,shape4,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape4_gabor1.png,1,2,3,95,66
Layla,shape6,test,yes,gabor1,gabor2,gabor3,no,no,images/all_shapes/shape6_gabor3.png,3,10,4,250,64
Layla,shape2,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape2_gabor1.png,1,2,5,405,68
Layla,shape8,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape8_gabor1.png,1,2,6,710,70
Layla,shape6,test,yes,gabor1,gabor2,gabor2,no,yes,images/all_shapes/shape6_gabor2.png,1,5,7,560,64
Layla,shape6,test,yes,gabor1,gabor2,gabor4,no,no,images/all_shapes/shape6_gabor4.png,2,20,8,150,190
Nora,shape1,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape1_gabor2.png,2,5,1,560,64
Nora,shape8,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape8_gabor2.png,1,5,2,250,64
Nora,shape3,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape3_gabor1.png,2,2,3,150,190
Nora,shape3,test,yes,gabor2,gabor1,gabor2,yes,no,images/all_shapes/shape3_gabor2.png,4,5,4,330,194
Nora,shape1,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape1_gabor2.png,1,5,5,510,188
Nora,shape6,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape6_gabor2.png,1,5,6,95,66
Nora,shape3,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape3_gabor1.png,1,2,7,710,70
Nora,shape3,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape3_gabor1.png,3,2,8,405,68
Riley,shape7,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape7_gabor3.png,2,10,1,560,64
Riley,shape2,test,yes,gabor3,gabor4,gabor4,no,yes,images/all_shapes/shape2_gabor4.png,2,20,2,330,194
Riley,shape2,test,yes,gabor3,gabor4,gabor3,yes,no,images/all_shapes/shape2_gabor3.png,4,10,3,405,68
Riley,shape2,test,yes,gabor3,gabor4,gabor4,no,yes,images/all_shapes/shape2_gabor4.png,3,20,4,95,66
Riley,shape1,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape1_gabor3.png,1,10,5,150,190
Riley,shape2,test,yes,gabor3,gabor4,gabor2,no,no,images/all_shapes/shape2_gabor2.png,1,5,6,710,70
Riley,shape4,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape4_gabor3.png,1,10,7,250,64
Riley,shape7,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape7_gabor3.png,1,10,8,510,188
Zoey,shape8,test,yes,gabor4,gabor3,gabor2,no,no,images/all_shapes/shape8_gabor2.png,2,5,1,95,66
Zoey,shape7,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape7_gabor4.png,1,20,2,560,64
Zoey,shape2,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape2_gabor4.png,1,20,3,510,188
Zoey,shape8,test,yes,gabor4,gabor3,gabor3,no,yes,images/all_shapes/shape8_gabor3.png,4,10,4,150,190
Zoey,shape6,filler,no,gabor4,gabor4,gabor2,no,no,images/all_shapes/shape6_gabor2.png,1,5,5,710,70
Zoey,shape2,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape2_gabor4.png,2,20,6,250,64
Zoey,shape8,test,yes,gabor4,gabor3,gabor4,yes,no,images/all_shapes/shape8_gabor4.png,3,20,7,405,68
Zoey,shape8,test,yes,gabor4,gabor3,gabor3,no,yes,images/all_shapes/shape8_gabor3.png,1,10,8,330,194
Hannah,shape1,filler,no,gabor1,gabor1,gabor3,no,no,images/all_shapes/shape1_gabor3.png,1,10,1,510,188
Hannah,shape5,test,yes,gabor1,gabor2,gabor3,no,no,images/all_shapes/shape5_gabor3.png,1,10,2,150,190
Hannah,shape1,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape1_gabor1.png,2,2,3,250,64
Hannah,shape5,test,yes,gabor1,gabor2,gabor2,no,yes,images/all_shapes/shape5_gabor2.png,4,5,4,330,194
Hannah,shape5,test,yes,gabor1,gabor2,gabor4,no,no,images/all_shapes/shape5_gabor4.png,2,20,5,710,70
Hannah,shape5,test,yes,gabor1,gabor2,gabor2,no,yes,images/all_shapes/shape5_gabor2.png,3,5,6,405,68
Hannah,shape7,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape7_gabor1.png,1,2,7,95,66
Hannah,shape2,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape2_gabor1.png,1,2,8,560,64
Luna,shape4,test,yes,gabor2,gabor4,gabor4,no,yes,images/all_shapes/shape4_gabor4.png,2,20,1,95,66
Luna,shape8,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape8_gabor2.png,1,5,2,710,70
Luna,shape4,test,yes,gabor2,gabor4,gabor4,no,yes,images/all_shapes/shape4_gabor4.png,3,20,3,405,68
Luna,shape4,test,yes,gabor2,gabor4,gabor4,no,yes,images/all_shapes/shape4_gabor4.png,4,20,4,250,64
Luna,shape8,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape8_gabor2.png,2,5,5,510,188
Luna,shape3,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape3_gabor2.png,1,5,6,560,64
Luna,shape2,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape2_gabor2.png,1,5,7,150,190
Luna,shape4,test,yes,gabor2,gabor4,gabor3,no,no,images/all_shapes/shape4_gabor3.png,1,10,8,330,194
Stella,shape7,test,yes,gabor3,gabor1,gabor1,no,yes,images/all_shapes/shape7_gabor1.png,2,2,1,510,188
Stella,shape7,test,yes,gabor3,gabor1,gabor4,no,no,images/all_shapes/shape7_gabor4.png,1,20,2,330,194
Stella,shape2,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape2_gabor3.png,1,10,3,250,64
Stella,shape7,test,yes,gabor3,gabor1,gabor3,yes,no,images/all_shapes/shape7_gabor3.png,3,10,4,710,70
Stella,shape4,filler,no,gabor3,gabor3,gabor1,no,no,images/all_shapes/shape4_gabor1.png,1,2,5,150,190
Stella,shape1,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape1_gabor3.png,1,10,6,560,64
Stella,shape7,test,yes,gabor3,gabor1,gabor1,no,yes,images/all_shapes/shape7_gabor1.png,4,2,7,405,68
Stella,shape4,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape4_gabor3.png,2,10,8,95,66
Aurora,shape4,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape4_gabor4.png,2,20,1,95,66
Aurora,shape4,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape4_gabor4.png,1,20,2,710,70
Aurora,shape1,test,yes,gabor4,gabor3,gabor3,no,yes,images/all_shapes/shape1_gabor3.png,1,10,3,250,64
Aurora,shape1,test,yes,gabor4,gabor3,gabor4,yes,no,images/all_shapes/shape1_gabor4.png,2,20,4,560,64
Aurora,shape1,test,yes,gabor4,gabor3,gabor3,no,yes,images/all_shapes/shape1_gabor3.png,3,10,5,330,194
Aurora,shape5,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape5_gabor4.png,1,20,6,405,68
Aurora,shape3,filler,no,gabor4,gabor4,gabor1,no,no,images/all_shapes/shape3_gabor1.png,1,2,7,510,188
Aurora,shape1,test,yes,gabor4,gabor3,gabor2,no,no,images/all_shapes/shape1_gabor2.png,4,5,8,150,190
Leah,shape4,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape4_gabor1.png,1,2,1,560,64
Leah,shape7,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape7_gabor1.png,2,2,2,150,190
Leah,shape6,test,yes,gabor1,gabor3,gabor1,yes,no,images/all_shapes/shape6_gabor1.png,1,2,3,510,188
Leah,shape6,test,yes,gabor1,gabor3,gabor3,no,yes,images/all_shapes/shape6_gabor3.png,2,10,4,95,66
Leah,shape6,test,yes,gabor1,gabor3,gabor3,no,yes,images/all_shapes/shape6_gabor3.png,4,10,5,250,64
Leah,shape5,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape5_gabor1.png,1,2,6,405,68
Leah,shape7,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape7_gabor1.png,1,2,7,330,194
Leah,shape6,test,yes,gabor1,gabor3,gabor3,no,yes,images/all_shapes/shape6_gabor3.png,3,10,8,710,70
