painter,shape,shape_role,is_test_shape,general_dominant_frequency,shape_dominant_frequency,actual_frequency,uses_general_dominant,uses_shape_dominant,image,repeat_inside_shape,actual_frequency_cycles,example_number_in_painter_box,x_position_in_cell,y_position_in_cell
Olivia,shape5,test,yes,gabor4,gabor2,gabor2,no,yes,images/all_shapes/shape5_gabor2.png,1,5,2,145,220
Olivia,shape6,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape6_gabor4.png,2,20,3,420,95
Olivia,shape6,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape6_gabor4.png,1,20,4,750,105
Olivia,shape5,test,yes,gabor4,gabor2,gabor2,no,yes,images/all_shapes/shape5_gabor2.png,4,5,5,255,85
Olivia,shape5,test,yes,gabor4,gabor2,gabor2,no,yes,images/all_shapes/shape5_gabor2.png,3,5,6,95,90
Olivia,shape5,test,yes,gabor4,gabor2,gabor4,yes,no,images/all_shapes/shape5_gabor4.png,2,20,7,505,215
Olivia,shape7,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape7_gabor4.png,1,20,8,585,90
Sophia,shape2,test,yes,gabor1,gabor3,gabor3,no,yes,images/all_shapes/shape2_gabor3.png,2,10,1,750,105
Sophia,shape2,test,yes,gabor1,gabor3,gabor1,yes,no,images/all_shapes/shape2_gabor1.png,3,2,2,420,95
Sophia,shape7,filler,no,gabor1,gabor1,gabor2,no,no,images/all_shapes/shape7_gabor2.png,1,5,3,585,90
Sophia,shape3,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape3_gabor1.png,1,2,4,505,215
Sophia,shape4,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape4_gabor1.png,2,2,5,255,85
Sophia,shape2,test,yes,gabor1,gabor3,gabor3,no,yes,images/all_shapes/shape2_gabor3.png,1,10,6,145,220
Sophia,shape2,test,yes,gabor1,gabor3,gabor4,no,no,images/all_shapes/shape2_gabor4.png,4,20,7,325,225
Sophia,shape4,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape4_gabor1.png,1,2,8,95,90
Ava,shape4,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape4_gabor2.png,1,5,1,95,90
Ava,shape3,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape3_gabor1.png,1,2,2,505,215
Ava,shape8,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape8_gabor2.png,1,5,3,325,225
Ava,shape3,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape3_gabor1.png,2,2,4,585,90
Ava,shape5,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape5_gabor2.png,1,5,5,255,85
Ava,shape3,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape3_gabor1.png,4,2,6,420,95
Ava,shape3,test,yes,gabor2,gabor1,gabor2,yes,no,images/all_shapes/shape3_gabor2.png,3,5,7,750,105
Ava,shape5,filler,no,gabor2,gabor2,gabor3,no,no,images/all_shapes/shape5_gabor3.png,2,10,8,145,220
Mia,shape1,test,yes,gabor3,gabor2,gabor2,no,yes,images/all_shapes/shape1_gabor2.png,4,5,1,420,95
Mia,shape8,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape8_gabor3.png,2,10,2,255,85
Mia,shape3,filler,no,gabor3,gabor3,gabor1,no,no,images/all_shapes/shape3_gabor1.png,1,2,3,95,90
Mia,shape1,test,yes,gabor3,gabor2,gabor2,no,yes,images/all_shapes/shape1_gabor2.png,1,5,4,325,225
Mia,shape1,test,yes,gabor3,gabor2,gabor4,no,no,images/all_shapes/shape1_gabor4.png,3,20,5,145,220
Mia,shape8,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape8_gabor3.png,1,10,6,505,215
Mia,shape4,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape4_gabor3.png,1,10,7,750,105
Mia,shape1,test,yes,gabor3,gabor2,gabor1,no,no,images/all_shapes/shape1_gabor1.png,2,2,8,585,90
Charlotte,shape6,filler,no,gabor4,gabor4,gabor3,no,no,images/all_shapes/shape6_gabor3.png,1,10,1,145,220
Charlotte,shape1,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape1_gabor4.png,2,20,2,585,90
Charlotte,shape1,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape1_gabor4.png,1,20,3,420,95
Charlotte,shape8,test,yes,gabor4,gabor2,gabor2,no,yes,images/all_shapes/shape8_gabor2.png,2,5,4,325,225
Charlotte,shape4,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape4_gabor4.png,1,20,5,750,105
Charlotte,shape8,test,yes,gabor4,gabor2,gabor4,yes,no,images/all_shapes/shape8_gabor4.png,3,20,6,95,90
Charlotte,shape8,test,yes,gabor4,gabor2,gabor2,no,yes,images/all_shapes/shape8_gabor2.png,1,5,7,255,85
Charlotte,shape8,test,yes,gabor4,gabor2,gabor1,no,no,images/all_shapes/shape8_gabor1.png,4,2,8,505,215
Amelia,shape7,test,yes,gabor1,gabor4,gabor4,no,yes,images/all_shapes/shape7_gabor4.png,1,20,1,255,85
Amelia,shape4,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape4_gabor1.png,1,2,2,505,215
Amelia,shape7,test,yes,gabor1,gabor4,gabor4,no,yes,images/all_shapes/shape7_gabor4.png,4,20,3,145,220
Amelia,shape6,filler,no,gabor1,gabor1,gabor2,no,no,images/all_shapes/shape6_gabor2.png,1,5,4,95,90
Amelia,shape7,test,yes,gabor1,gabor4,gabor1,yes,no,images/all_shapes/shape7_gabor1.png,3,2,5,325,225
Amelia,shape2,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape2_gabor1.png,1,2,6,750,105
Amelia,shape7,test,yes,gabor1,gabor4,gabor3,no,no,images/all_shapes/shape7_gabor3.png,2,10,7,585,90
Amelia,shape2,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape2_gabor1.png,2,2,8,420,95
Harper,shape4,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape4_gabor2.png,1,5,1,145,220
Harper,shape3,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape3_gabor1.png,2,2,2,325,225
Harper,shape1,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape1_gabor2.png,1,5,3,585,90
Harper,shape3,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape3_gabor1.png,1,2,4,95,90
Harper,shape3,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape3_gabor1.png,4,2,5,255,85
Harper,shape7,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape7_gabor2.png,2,5,6,505,215
Harper,shape7,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape7_gabor2.png,1,5,7,420,95
Harper,shape3,test,yes,gabor2,gabor1,gabor2,yes,no,images/all_shapes/shape3_gabor2.png,3,5,8,750,105
Lily,shape4,test,yes,gabor3,gabor4,gabor4,no,yes,images/all_shapes/shape4_gabor4.png,1,20,1,505,215
Lily,shape2,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape2_gabor3.png,1,10,2,585,90
Lily,shape8,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape8_gabor3.png,2,10,3,325,225
Lily,shape8,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape8_gabor3.png,1,10,4,255,85
Lily,shape4,test,yes,gabor3,gabor4,gabor4,no,yes,images/all_shapes/shape4_gabor4.png,3,20,5,420,95
Lily,shape7,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape7_gabor3.png,1,10,6,95,90
Lily,shape4,test,yes,gabor3,gabor4,gabor3,yes,no,images/all_shapes/shape4_gabor3.png,4,10,7,145,220
Lily,shape4,test,yes,gabor3,gabor4,gabor4,no,yes,images/all_shapes/shape4_gabor4.png,2,20,8,750,105
Ella,shape4,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape4_gabor4.png,1,20,1,145,220
Ella,shape2,test,yes,gabor4,gabor3,gabor3,no,yes,images/all_shapes/shape2_gabor3.png,4,10,2,750,105
Ella,shape8,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape8_gabor4.png,2,20,3,585,90
Ella,shape8,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape8_gabor4.png,1,20,4,420,95
Ella,shape2,test,yes,gabor4,gabor3,gabor3,no,yes,images/all_shapes/shape2_gabor3.png,1,10,5,325,225
Ella,shape2,test,yes,gabor4,gabor3,gabor1,no,no,images/all_shapes/shape2_gabor1.png,2,2,6,255,85
Ella,shape3,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape3_gabor4.png,1,20,7,95,90
Ella,shape2,test,yes,gabor4,gabor3,gabor2,no,no,images/all_shapes/shape2_gabor2.png,3,5,8,505,215
Chloe,shape8,test,yes,gabor1,gabor4,gabor1,yes,no,images/all_shapes/shape8_gabor1.png,3,2,1,145,220
Chloe,shape1,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape1_gabor1.png,1,2,2,420,95
Chloe,shape4,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape4_gabor1.png,2,2,3,750,105
Chloe,shape5,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape5_gabor1.png,1,2,4,255,85
Chloe,shape8,test,yes,gabor1,gabor4,gabor4,no,yes,images/all_shapes/shape8_gabor4.png,1,20,5,95,90
Chloe,shape8,test,yes,gabor1,gabor4,gabor4,no,yes,images/all_shapes/shape8_gabor4.png,4,20,6,325,225
Chloe,shape8,test,yes,gabor1,gabor4,gabor2,no,no,images/all_shapes/shape8_gabor2.png,2,5,7,585,90
Chloe,shape4,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape4_gabor1.png,1,2,8,505,215
Victoria,shape1,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape1_gabor1.png,1,2,1,505,215
Victoria,shape5,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape5_gabor2.png,2,5,2,420,95
Victoria,shape5,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape5_gabor2.png,1,5,3,325,225
Victoria,shape1,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape1_gabor1.png,4,2,4,255,85
Victoria,shape1,test,yes,gabor2,gabor1,gabor2,yes,no,images/all_shapes/shape1_gabor2.png,2,5,5,750,105
Victoria,shape1,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape1_gabor1.png,3,2,6,145,220
Victoria,shape2,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape2_gabor2.png,1,5,7,95,90
Victoria,shape7,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape7_gabor2.png,1,5,8,585,90
Aria,shape5,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape5_gabor3.png,2,10,1,145,220
Aria,shape6,test,yes,gabor3,gabor2,gabor2,no,yes,images/all_shapes/shape6_gabor2.png,3,5,2,420,95
Aria,shape5,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape5_gabor3.png,1,10,3,750,105
Aria,shape6,test,yes,gabor3,gabor2,gabor2,no,yes,images/all_shapes/shape6_gabor2.png,2,5,4,255,85
Aria,shape8,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape8_gabor3.png,1,10,5,325,225
Aria,shape4,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape4_gabor3.png,1,10,6,505,215
Aria,shape6,test,yes,gabor3,gabor2,gabor1,no,no,images/all_shapes/shape6_gabor1.png,4,2,7,585,90
Aria,shape6,test,yes,gabor3,gabor2,gabor2,no,yes,images/all_shapes/shape6_gabor2.png,1,5,8,95,90
Scarlett,shape5,test,yes,gabor4,gabor3,gabor3,no,yes,images/all_shapes/shape5_gabor3.png,1,10,1,585,90
Scarlett,shape5,test,yes,gabor4,gabor3,gabor4,yes,no,images/all_shapes/shape5_gabor4.png,2,20,2,95,90
Scarlett,shape5,test,yes,gabor4,gabor3,gabor3,no,yes,images/all_shapes/shape5_gabor3.png,4,10,3,505,215
Scarlett,shape4,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape4_gabor4.png,2,20,4,325,225
Scarlett,shape5,test,yes,gabor4,gabor3,gabor1,no,no,images/all_shapes/shape5_gabor1.png,3,2,5,145,220
Scarlett,shape6,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape6_gabor4.png,1,20,6,750,105
Scarlett,shape1,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape1_gabor4.png,1,20,7,420,95
Scarlett,shape4,filler,no,gabor4,gabor4,gabor2,no,no,images/all_shapes/shape4_gabor2.png,1,5,8,255,85
Layla,shape3,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape3_gabor1.png,2,2,1,585,90
Layla,shape1,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape1_gabor1.png,1,2,2,420,95
Layla,shape7,test,yes,gabor1,gabor2,gabor3,no,no,images/all_shapes/shape7_gabor3.png,3,10,3,750,105
Layla,shape7,test,yes,gabor1,gabor2,gabor2,no,yes,images/all_shapes/shape7_gabor2.png,2,5,4,95,90
Layla,shape6,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape6_gabor1.png,1,2,5,325,225
Layla,shape3,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape3_gabor1.png,1,2,6,505,215
Layla,shape7,test,yes,gabor1,gabor2,gabor1,yes,no,images/all_shapes/shape7_gabor1.png,1,2,7,255,85
Layla,shape7,test,yes,gabor1,gabor2,gabor2,no,yes,images/all_shapes/shape7_gabor2.png,4,5,8,145,220
Nora,shape1,test,yes,gabor2,gabor1,gabor2,yes,no,images/all_shapes/shape1_gabor2.png,3,5,1,505,215
Nora,shape1,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape1_gabor1.png,4,2,2,145,220
Nora,shape7,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape7_gabor2.png,1,5,3,255,85
Nora,shape3,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape3_gabor2.png,1,5,4,420,95
Nora,shape5,filler,no,gabor2,gabor2,gabor1,no,no,images/all_shapes/shape5_gabor1.png,1,2,5,750,105
Nora,shape1,test,yes,gabor2,gabor1,gabor1,no,yes,images/all_shapes/shape1_gabor1.png,1,2,6,585,90
Nora,shape1,test,yes,gabor2,gabor1,gabor3,no,no,images/all_shapes/shape1_gabor3.png,2,10,7,325,225
Nora,shape7,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape7_gabor2.png,2,5,8,95,90
Riley,shape3,test,yes,gabor3,gabor4,gabor4,no,yes,images/all_shapes/shape3_gabor4.png,3,20,1,420,95
Riley,shape3,test,yes,gabor3,gabor4,gabor4,no,yes,images/all_shapes/shape3_gabor4.png,4,20,2,145,220
Riley,shape2,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape2_gabor3.png,1,10,3,255,85
Riley,shape3,test,yes,gabor3,gabor4,gabor2,no,no,images/all_shapes/shape3_gabor2.png,2,5,4,750,105
Riley,shape5,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape5_gabor3.png,1,10,5,505,215
Riley,shape2,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape2_gabor3.png,2,10,6,325,225
Riley,shape6,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape6_gabor3.png,1,10,7,95,90
Riley,shape3,test,yes,gabor3,gabor4,gabor4,no,yes,images/all_shapes/shape3_gabor4.png,1,20,8,585,90
Zoey,shape6,filler,no,gabor4,gabor4,gabor1,no,no,images/all_shapes/shape6_gabor1.png,1,2,1,145,220
Zoey,shape2,test,yes,gabor4,gabor3,gabor3,no,yes,images/all_shapes/shape2_gabor3.png,2,10,2,325,225
Zoey,shape1,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape1_gabor4.png,1,20,3,420,95
Zoey,shape6,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape6_gabor4.png,2,20,4,505,215
Zoey,shape5,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape5_gabor4.png,1,20,5,255,85
Zoey,shape2,test,yes,gabor4,gabor3,gabor4,yes,no,images/all_shapes/shape2_gabor4.png,3,20,6,585,90
Zoey,shape2,test,yes,gabor4,gabor3,gabor3,no,yes,images/all_shapes/shape2_gabor3.png,4,10,7,95,90
Zoey,shape2,test,yes,gabor4,gabor3,gabor3,no,yes,images/all_shapes/shape2_gabor3.png,1,10,8,750,105
Hannah,shape6,test,yes,gabor1,gabor2,gabor1,yes,no,images/all_shapes/shape6_gabor1.png,1,2,1,750,105
Hannah,shape6,test,yes,gabor1,gabor2,gabor2,no,yes,images/all_shapes/shape6_gabor2.png,4,5,2,255,85
Hannah,shape6,test,yes,gabor1,gabor2,gabor3,no,no,images/all_shapes/shape6_gabor3.png,3,10,3,325,225
Hannah,shape6,test,yes,gabor1,gabor2,gabor2,no,yes,images/all_shapes/shape6_gabor2.png,2,5,4,420,95
Hannah,shape7,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape7_gabor1.png,2,2,5,95,90
Hannah,shape4,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape4_gabor1.png,1,2,6,585,90
Hannah,shape7,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape7_gabor1.png,1,2,7,145,220
Hannah,shape3,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape3_gabor1.png,1,2,8,505,215
Luna,shape1,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape1_gabor2.png,2,5,1,255,85
Luna,shape5,test,yes,gabor2,gabor4,gabor4,no,yes,images/all_shapes/shape5_gabor4.png,2,20,2,505,215
Luna,shape1,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape1_gabor2.png,1,5,3,325,225
Luna,shape5,test,yes,gabor2,gabor4,gabor4,no,yes,images/all_shapes/shape5_gabor4.png,1,20,4,585,90
Luna,shape5,test,yes,gabor2,gabor4,gabor4,no,yes,images/all_shapes/shape5_gabor4.png,4,20,5,145,220
Luna,shape5,test,yes,gabor2,gabor4,gabor1,no,no,images/all_shapes/shape5_gabor1.png,3,2,6,420,95
Luna,shape8,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape8_gabor2.png,1,5,7,95,90
Luna,shape3,filler,no,gabor2,gabor2,gabor2,yes,yes,images/all_shapes/shape3_gabor2.png,1,5,8,750,105
Stella,shape8,test,yes,gabor3,gabor1,gabor4,no,no,images/all_shapes/shape8_gabor4.png,4,20,1,145,220
Stella,shape8,test,yes,gabor3,gabor1,gabor2,no,no,images/all_shapes/shape8_gabor2.png,3,5,2,420,95
Stella,shape8,test,yes,gabor3,gabor1,gabor1,no,yes,images/all_shapes/shape8_gabor1.png,1,2,3,95,90
Stella,shape8,test,yes,gabor3,gabor1,gabor1,no,yes,images/all_shapes/shape8_gabor1.png,2,2,4,750,105
Stella,shape7,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape7_gabor3.png,2,10,5,325,225
Stella,shape7,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape7_gabor3.png,1,10,6,505,215
Stella,shape6,filler,no,gabor3,gabor3,gabor3,yes,yes,images/all_shapes/shape6_gabor3.png,1,10,7,255,85
Stella,shape2,filler,no,gabor3,gabor3,gabor2,no,no,images/all_shapes/shape2_gabor2.png,1,5,8,585,90
Aurora,shape1,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape1_gabor4.png,1,20,1,750,105
Aurora,shape7,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape7_gabor4.png,1,20,2,505,215
Aurora,shape4,test,yes,gabor4,gabor3,gabor3,no,yes,images/all_shapes/shape4_gabor3.png,2,10,3,585,90
Aurora,shape4,test,yes,gabor4,gabor3,gabor2,no,no,images/all_shapes/shape4_gabor2.png,1,5,4,255,85
Aurora,shape6,filler,no,gabor4,gabor4,gabor2,no,no,images/all_shapes/shape6_gabor2.png,2,5,5,95,90
Aurora,shape6,filler,no,gabor4,gabor4,gabor4,yes,yes,images/all_shapes/shape6_gabor4.png,1,20,6,420,95
Aurora,shape4,test,yes,gabor4,gabor3,gabor3,no,yes,images/all_shapes/shape4_gabor3.png,4,10,7,145,220
Aurora,shape4,test,yes,gabor4,gabor3,gabor1,no,no,images/all_shapes/shape4_gabor1.png,3,2,8,325,225
Leah,shape2,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape2_gabor1.png,1,2,1,420,95
Leah,shape5,test,yes,gabor1,gabor3,gabor3,no,yes,images/all_shapes/shape5_gabor3.png,3,10,2,585,90
Leah,shape8,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape8_gabor1.png,2,2,3,255,85
Leah,shape5,test,yes,gabor1,gabor3,gabor3,no,yes,images/all_shapes/shape5_gabor3.png,1,10,4,95,90
Leah,shape1,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape1_gabor1.png,1,2,5,750,105
Leah,shape5,test,yes,gabor1,gabor3,gabor1,yes,no,images/all_shapes/shape5_gabor1.png,4,2,6,145,220
Leah,shape5,test,yes,gabor1,gabor3,gabor3,no,yes,images/all_shapes/shape5_gabor3.png,2,10,7,505,215
Leah,shape8,filler,no,gabor1,gabor1,gabor1,yes,yes,images/all_shapes/shape8_gabor1.png,1,2,8,325,225
