painter,shape,shape_role,is_test_shape,general_dominant_frequency,shape_dominant_frequency,actual_frequency,uses_general_dominant,uses_shape_dominant,image,repeat_inside_shape,single_category_example_number,single_category_x_position,single_category_y_position
Grace,high_shape4,test,yes,high_color4,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape4_high_color5.png,3,8,560,64
Olivia,high_shape9,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color5.png,1,1,150,190
Olivia,high_shape1,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color5.png,1,2,95,66
Olivia,high_shape13,test,yes,high_color5,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape13_high_color2.png,3,3,710,70
Olivia,high_shape1,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color5.png,2,4,510,188
Olivia,high_shape17,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color5.png,1,5,250,64
Olivia,high_shape13,test,yes,high_color5,high_color2,high_color5,yes,no,images/high_nameability/all_shapes/high_shape13_high_color5.png,1,6,330,194
Olivia,high_shape13,test,yes,high_color5,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape13_high_color2.png,2,7,405,68
Olivia,high_shape13,test,yes,high_color5,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape13_high_color2.png,4,8,560,64
Sophia,high_shape17,test,yes,high_color1,high_color4,high_color5,no,no,images/high_nameability/all_shapes/high_shape17_high_color5.png,4,1,510,188
Sophia,high_shape17,test,yes,high_color1,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape17_high_color4.png,2,2,405,68
Sophia,high_shape7,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape7_high_color1.png,1,3,250,64
Sophia,high_shape9,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,2,4,150,190
Sophia,high_shape9,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,1,5,95,66
Sophia,high_shape17,test,yes,high_color1,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape17_high_color4.png,3,6,560,64
Sophia,high_shape13,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape13_high_color1.png,1,7,330,194
Sophia,high_shape17,test,yes,high_color1,high_color4,high_color1,yes,no,images/high_nameability/all_shapes/high_shape17_high_color1.png,1,8,710,70
Ava,high_shape9,test,yes,high_color2,high_color1,high_color2,yes,no,images/high_nameability/all_shapes/high_shape9_high_color2.png,4,1,330,194
Ava,high_shape9,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,1,2,510,188
Ava,high_shape9,test,yes,high_color2,high_color1,high_color5,no,no,images/high_nameability/all_shapes/high_shape9_high_color5.png,2,3,560,64
Ava,high_shape1,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color2.png,1,4,250,64
Ava,high_shape17,filler,no,high_color2,high_color2,high_color5,no,no,images/high_nameability/all_shapes/high_shape17_high_color5.png,1,5,150,190
Ava,high_shape9,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,3,6,710,70
Ava,high_shape7,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape7_high_color2.png,1,7,95,66
Ava,high_shape1,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color2.png,2,8,405,68
Mia,high_shape10,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape10_high_color4.png,2,1,560,64
Mia,high_shape7,test,yes,high_color4,high_color2,high_color1,no,no,images/high_nameability/all_shapes/high_shape7_high_color1.png,1,2,330,194
Mia,high_shape7,test,yes,high_color4,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape7_high_color2.png,3,3,710,70
Mia,high_shape4,filler,no,high_color4,high_color4,high_color1,no,no,images/high_nameability/all_shapes/high_shape4_high_color1.png,1,4,95,66
Mia,high_shape17,filler,no,high_color4,high_color4,high_color5,no,no,images/high_nameability/all_shapes/high_shape17_high_color5.png,1,5,510,188
Mia,high_shape10,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape10_high_color4.png,1,6,150,190
Mia,high_shape7,test,yes,high_color4,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape7_high_color2.png,4,7,405,68
Mia,high_shape7,test,yes,high_color4,high_color2,high_color4,yes,no,images/high_nameability/all_shapes/high_shape7_high_color4.png,2,8,250,64
Charlotte,high_shape21,test,yes,high_color5,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape21_high_color2.png,4,1,710,70
Charlotte,high_shape21,test,yes,high_color5,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape21_high_color2.png,2,2,95,66
Charlotte,high_shape17,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color5.png,2,3,560,64
Charlotte,high_shape21,test,yes,high_color5,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape21_high_color2.png,1,4,330,194
Charlotte,high_shape21,test,yes,high_color5,high_color2,high_color5,yes,no,images/high_nameability/all_shapes/high_shape21_high_color5.png,3,5,250,64
Charlotte,high_shape17,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color5.png,1,6,150,190
Charlotte,high_shape13,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape13_high_color5.png,1,7,510,188
Charlotte,high_shape10,filler,no,high_color5,high_color5,high_color1,no,no,images/high_nameability/all_shapes/high_shape10_high_color1.png,1,8,405,68
Amelia,high_shape17,filler,no,high_color1,high_color1,high_color5,no,no,images/high_nameability/all_shapes/high_shape17_high_color5.png,1,1,330,194
Amelia,high_shape21,test,yes,high_color1,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape21_high_color5.png,2,2,405,68
Amelia,high_shape7,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape7_high_color1.png,1,3,95,66
Amelia,high_shape21,test,yes,high_color1,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape21_high_color5.png,4,4,510,188
Amelia,high_shape9,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,2,5,560,64
Amelia,high_shape21,test,yes,high_color1,high_color5,high_color1,yes,no,images/high_nameability/all_shapes/high_shape21_high_color1.png,3,6,250,64
Amelia,high_shape21,test,yes,high_color1,high_color5,high_color2,no,no,images/high_nameability/all_shapes/high_shape21_high_color2.png,1,7,150,190
Amelia,high_shape9,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,1,8,710,70
Harper,high_shape21,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color2.png,2,1,510,188
Harper,high_shape9,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,2,2,250,64
Harper,high_shape9,test,yes,high_color2,high_color1,high_color2,yes,no,images/high_nameability/all_shapes/high_shape9_high_color2.png,4,3,710,70
Harper,high_shape1,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color2.png,1,4,150,190
Harper,high_shape21,filler,no,high_color2,high_color2,high_color4,no,no,images/high_nameability/all_shapes/high_shape21_high_color4.png,1,5,560,64
Harper,high_shape9,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,3,6,330,194
Harper,high_shape9,test,yes,high_color2,high_color1,high_color5,no,no,images/high_nameability/all_shapes/high_shape9_high_color5.png,1,7,405,68
Harper,high_shape17,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color2.png,1,8,95,66
Lily,high_shape1,test,yes,high_color4,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape1_high_color5.png,1,1,560,64
Lily,high_shape1,test,yes,high_color4,high_color5,high_color4,yes,no,images/high_nameability/all_shapes/high_shape1_high_color4.png,2,2,250,64
Lily,high_shape9,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color4.png,1,3,710,70
Lily,high_shape1,test,yes,high_color4,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape1_high_color5.png,3,4,330,194
Lily,high_shape10,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape10_high_color4.png,1,5,95,66
Lily,high_shape21,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color4.png,1,6,405,68
Lily,high_shape9,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color4.png,2,7,150,190
Lily,high_shape1,test,yes,high_color4,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape1_high_color5.png,4,8,510,188
Ella,high_shape13,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape13_high_color5.png,2,1,150,190
Ella,high_shape10,test,yes,high_color5,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape10_high_color4.png,2,2,560,64
Ella,high_shape9,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color5.png,1,3,330,194
Ella,high_shape10,test,yes,high_color5,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape10_high_color4.png,4,4,510,188
Ella,high_shape21,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color5.png,1,5,405,68
Ella,high_shape10,test,yes,high_color5,high_color4,high_color5,yes,no,images/high_nameability/all_shapes/high_shape10_high_color5.png,1,6,710,70
Ella,high_shape13,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape13_high_color5.png,1,7,95,66
Ella,high_shape10,test,yes,high_color5,high_color4,high_color2,no,no,images/high_nameability/all_shapes/high_shape10_high_color2.png,3,8,250,64
Chloe,high_shape13,test,yes,high_color1,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape13_high_color5.png,4,1,95,66
Chloe,high_shape4,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape4_high_color1.png,2,2,510,188
Chloe,high_shape1,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color1.png,1,3,710,70
Chloe,high_shape13,test,yes,high_color1,high_color5,high_color2,no,no,images/high_nameability/all_shapes/high_shape13_high_color2.png,2,4,150,190
Chloe,high_shape13,test,yes,high_color1,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape13_high_color5.png,3,5,250,64
Chloe,high_shape17,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color1.png,1,6,560,64
Chloe,high_shape4,filler,no,high_color1,high_color1,high_color2,no,no,images/high_nameability/all_shapes/high_shape4_high_color2.png,1,7,330,194
Chloe,high_shape13,test,yes,high_color1,high_color5,high_color1,yes,no,images/high_nameability/all_shapes/high_shape13_high_color1.png,1,8,405,68
Victoria,high_shape7,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape7_high_color1.png,1,1,405,68
Victoria,high_shape7,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape7_high_color1.png,4,2,560,64
Victoria,high_shape1,filler,no,high_color2,high_color2,high_color5,no,no,images/high_nameability/all_shapes/high_shape1_high_color5.png,1,3,150,190
Victoria,high_shape10,filler,no,high_color2,high_color2,high_color4,no,no,images/high_nameability/all_shapes/high_shape10_high_color4.png,1,4,710,70
Victoria,high_shape7,test,yes,high_color2,high_color1,high_color2,yes,no,images/high_nameability/all_shapes/high_shape7_high_color2.png,2,5,250,64
Victoria,high_shape10,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape10_high_color2.png,2,6,95,66
Victoria,high_shape7,test,yes,high_color2,high_color1,high_color4,no,no,images/high_nameability/all_shapes/high_shape7_high_color4.png,3,7,330,194
Victoria,high_shape9,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color2.png,1,8,510,188
Aria,high_shape7,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape7_high_color4.png,1,1,150,190
Aria,high_shape17,test,yes,high_color4,high_color2,high_color4,yes,no,images/high_nameability/all_shapes/high_shape17_high_color4.png,2,2,95,66
Aria,high_shape9,filler,no,high_color4,high_color4,high_color5,no,no,images/high_nameability/all_shapes/high_shape9_high_color5.png,1,3,405,68
Aria,high_shape17,test,yes,high_color4,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape17_high_color2.png,4,4,250,64
Aria,high_shape21,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color4.png,1,5,560,64
Aria,high_shape7,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape7_high_color4.png,2,6,330,194
Aria,high_shape17,test,yes,high_color4,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape17_high_color2.png,3,7,510,188
Aria,high_shape17,test,yes,high_color4,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape17_high_color2.png,1,8,710,70
Scarlett,high_shape1,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color5.png,1,1,710,70
Scarlett,high_shape4,test,yes,high_color5,high_color4,high_color5,yes,no,images/high_nameability/all_shapes/high_shape4_high_color5.png,4,2,510,188
Scarlett,high_shape13,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape13_high_color5.png,1,3,405,68
Scarlett,high_shape4,test,yes,high_color5,high_color4,high_color2,no,no,images/high_nameability/all_shapes/high_shape4_high_color2.png,1,4,150,190
Scarlett,high_shape17,filler,no,high_color5,high_color5,high_color4,no,no,images/high_nameability/all_shapes/high_shape17_high_color4.png,1,5,330,194
Scarlett,high_shape17,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color5.png,2,6,560,64
Scarlett,high_shape4,test,yes,high_color5,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape4_high_color4.png,3,7,95,66
Scarlett,high_shape4,test,yes,high_color5,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape4_high_color4.png,2,8,250,64
Layla,high_shape9,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,2,1,330,194
Layla,high_shape13,test,yes,high_color1,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape13_high_color2.png,4,2,510,188
Layla,high_shape9,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,1,3,95,66
Layla,high_shape13,test,yes,high_color1,high_color2,high_color4,no,no,images/high_nameability/all_shapes/high_shape13_high_color4.png,3,4,250,64
Layla,high_shape4,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape4_high_color1.png,1,5,405,68
Layla,high_shape21,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color1.png,1,6,710,70
Layla,high_shape13,test,yes,high_color1,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape13_high_color2.png,1,7,560,64
Layla,high_shape13,test,yes,high_color1,high_color2,high_color5,no,no,images/high_nameability/all_shapes/high_shape13_high_color5.png,2,8,150,190
Nora,high_shape1,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color2.png,2,1,560,64
Nora,high_shape21,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color2.png,1,2,250,64
Nora,high_shape7,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape7_high_color1.png,2,3,150,190
Nora,high_shape7,test,yes,high_color2,high_color1,high_color2,yes,no,images/high_nameability/all_shapes/high_shape7_high_color2.png,4,4,330,194
Nora,high_shape1,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color2.png,1,5,510,188
Nora,high_shape13,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape13_high_color2.png,1,6,95,66
Nora,high_shape7,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape7_high_color1.png,1,7,710,70
Nora,high_shape7,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape7_high_color1.png,3,8,405,68
Riley,high_shape17,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color4.png,2,1,560,64
Riley,high_shape4,test,yes,high_color4,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape4_high_color5.png,2,2,330,194
Riley,high_shape4,test,yes,high_color4,high_color5,high_color4,yes,no,images/high_nameability/all_shapes/high_shape4_high_color4.png,4,3,405,68
Riley,high_shape4,test,yes,high_color4,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape4_high_color5.png,3,4,95,66
Riley,high_shape1,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color4.png,1,5,150,190
Riley,high_shape4,test,yes,high_color4,high_color5,high_color2,no,no,images/high_nameability/all_shapes/high_shape4_high_color2.png,1,6,710,70
Riley,high_shape9,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color4.png,1,7,250,64
Riley,high_shape17,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color4.png,1,8,510,188
Zoey,high_shape21,test,yes,high_color5,high_color4,high_color2,no,no,images/high_nameability/all_shapes/high_shape21_high_color2.png,2,1,95,66
Zoey,high_shape17,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color5.png,1,2,560,64
Zoey,high_shape4,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape4_high_color5.png,1,3,510,188
Zoey,high_shape21,test,yes,high_color5,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape21_high_color4.png,4,4,150,190
Zoey,high_shape13,filler,no,high_color5,high_color5,high_color2,no,no,images/high_nameability/all_shapes/high_shape13_high_color2.png,1,5,710,70
Zoey,high_shape4,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape4_high_color5.png,2,6,250,64
Zoey,high_shape21,test,yes,high_color5,high_color4,high_color5,yes,no,images/high_nameability/all_shapes/high_shape21_high_color5.png,3,7,405,68
Zoey,high_shape21,test,yes,high_color5,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape21_high_color4.png,1,8,330,194
Hannah,high_shape1,filler,no,high_color1,high_color1,high_color4,no,no,images/high_nameability/all_shapes/high_shape1_high_color4.png,1,1,510,188
Hannah,high_shape10,test,yes,high_color1,high_color2,high_color4,no,no,images/high_nameability/all_shapes/high_shape10_high_color4.png,1,2,150,190
Hannah,high_shape1,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color1.png,2,3,250,64
Hannah,high_shape10,test,yes,high_color1,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape10_high_color2.png,4,4,330,194
Hannah,high_shape10,test,yes,high_color1,high_color2,high_color5,no,no,images/high_nameability/all_shapes/high_shape10_high_color5.png,2,5,710,70
Hannah,high_shape10,test,yes,high_color1,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape10_high_color2.png,3,6,405,68
Hannah,high_shape17,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color1.png,1,7,95,66
Hannah,high_shape4,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape4_high_color1.png,1,8,560,64
Luna,high_shape9,test,yes,high_color2,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape9_high_color5.png,2,1,95,66
Luna,high_shape21,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color2.png,1,2,710,70
Luna,high_shape9,test,yes,high_color2,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape9_high_color5.png,3,3,405,68
Luna,high_shape9,test,yes,high_color2,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape9_high_color5.png,4,4,250,64
Luna,high_shape21,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color2.png,2,5,510,188
Luna,high_shape7,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape7_high_color2.png,1,6,560,64
Luna,high_shape4,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape4_high_color2.png,1,7,150,190
Luna,high_shape9,test,yes,high_color2,high_color5,high_color4,no,no,images/high_nameability/all_shapes/high_shape9_high_color4.png,1,8,330,194
Stella,high_shape17,test,yes,high_color4,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape17_high_color1.png,2,1,510,188
Stella,high_shape17,test,yes,high_color4,high_color1,high_color5,no,no,images/high_nameability/all_shapes/high_shape17_high_color5.png,1,2,330,194
Stella,high_shape4,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape4_high_color4.png,1,3,250,64
Stella,high_shape17,test,yes,high_color4,high_color1,high_color4,yes,no,images/high_nameability/all_shapes/high_shape17_high_color4.png,3,4,710,70
Stella,high_shape9,filler,no,high_color4,high_color4,high_color1,no,no,images/high_nameability/all_shapes/high_shape9_high_color1.png,1,5,150,190
Stella,high_shape1,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color4.png,1,6,560,64
Stella,high_shape17,test,yes,high_color4,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape17_high_color1.png,4,7,405,68
Stella,high_shape9,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color4.png,2,8,95,66
Aurora,high_shape9,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color5.png,2,1,95,66
Aurora,high_shape9,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color5.png,1,2,710,70
Aurora,high_shape1,test,yes,high_color5,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape1_high_color4.png,1,3,250,64
Aurora,high_shape1,test,yes,high_color5,high_color4,high_color5,yes,no,images/high_nameability/all_shapes/high_shape1_high_color5.png,2,4,560,64
Aurora,high_shape1,test,yes,high_color5,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape1_high_color4.png,3,5,330,194
Aurora,high_shape10,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape10_high_color5.png,1,6,405,68
Aurora,high_shape7,filler,no,high_color5,high_color5,high_color1,no,no,images/high_nameability/all_shapes/high_shape7_high_color1.png,1,7,510,188
Aurora,high_shape1,test,yes,high_color5,high_color4,high_color2,no,no,images/high_nameability/all_shapes/high_shape1_high_color2.png,4,8,150,190
Leah,high_shape9,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,1,1,560,64
Leah,high_shape17,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color1.png,2,2,150,190
Leah,high_shape13,test,yes,high_color1,high_color4,high_color1,yes,no,images/high_nameability/all_shapes/high_shape13_high_color1.png,1,3,510,188
