painter,shape,shape_role,is_test_shape,general_dominant_frequency,shape_dominant_frequency,actual_frequency,uses_general_dominant,uses_shape_dominant,image,repeat_inside_shape,example_number_in_painter_box,x_position_in_cell,y_position_in_cell
Grace,high_shape10,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape10_high_color4.png,1,2,325,225
Grace,high_shape4,test,yes,high_color4,high_color5,high_color1,no,no,images/high_nameability/all_shapes/high_shape4_high_color1.png,4,3,750,105
Grace,high_shape4,test,yes,high_color4,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape4_high_color5.png,1,4,420,95
Grace,high_shape4,test,yes,high_color4,high_color5,high_color4,yes,no,images/high_nameability/all_shapes/high_shape4_high_color4.png,2,5,505,215
Grace,high_shape21,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color4.png,1,6,95,90
Grace,high_shape4,test,yes,high_color4,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape4_high_color5.png,3,7,585,90
Grace,high_shape13,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape13_high_color4.png,1,8,145,220
Olivia,high_shape17,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color5.png,1,1,325,225
Olivia,high_shape13,test,yes,high_color5,high_color2,high_color5,yes,no,images/high_nameability/all_shapes/high_shape13_high_color5.png,1,2,145,220
Olivia,high_shape1,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color5.png,2,3,420,95
Olivia,high_shape1,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color5.png,1,4,750,105
Olivia,high_shape13,test,yes,high_color5,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape13_high_color2.png,4,5,255,85
Olivia,high_shape13,test,yes,high_color5,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape13_high_color2.png,3,6,95,90
Olivia,high_shape13,test,yes,high_color5,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape13_high_color2.png,2,7,505,215
Olivia,high_shape9,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color5.png,1,8,585,90
Sophia,high_shape17,test,yes,high_color1,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape17_high_color4.png,2,1,750,105
Sophia,high_shape17,test,yes,high_color1,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape17_high_color4.png,3,2,420,95
Sophia,high_shape13,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape13_high_color1.png,1,3,585,90
Sophia,high_shape7,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape7_high_color1.png,1,4,505,215
Sophia,high_shape9,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,2,5,255,85
Sophia,high_shape17,test,yes,high_color1,high_color4,high_color1,yes,no,images/high_nameability/all_shapes/high_shape17_high_color1.png,1,6,145,220
Sophia,high_shape17,test,yes,high_color1,high_color4,high_color5,no,no,images/high_nameability/all_shapes/high_shape17_high_color5.png,4,7,325,225
Sophia,high_shape9,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,1,8,95,90
Ava,high_shape1,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color2.png,1,1,95,90
Ava,high_shape9,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,1,2,505,215
Ava,high_shape17,filler,no,high_color2,high_color2,high_color5,no,no,images/high_nameability/all_shapes/high_shape17_high_color5.png,1,3,325,225
Ava,high_shape9,test,yes,high_color2,high_color1,high_color5,no,no,images/high_nameability/all_shapes/high_shape9_high_color5.png,2,4,585,90
Ava,high_shape1,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color2.png,2,5,255,85
Ava,high_shape9,test,yes,high_color2,high_color1,high_color2,yes,no,images/high_nameability/all_shapes/high_shape9_high_color2.png,4,6,420,95
Ava,high_shape9,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,3,7,750,105
Ava,high_shape7,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape7_high_color2.png,1,8,145,220
Mia,high_shape7,test,yes,high_color4,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape7_high_color2.png,4,1,420,95
Mia,high_shape17,filler,no,high_color4,high_color4,high_color5,no,no,images/high_nameability/all_shapes/high_shape17_high_color5.png,1,2,255,85
Mia,high_shape4,filler,no,high_color4,high_color4,high_color1,no,no,images/high_nameability/all_shapes/high_shape4_high_color1.png,1,3,95,90
Mia,high_shape7,test,yes,high_color4,high_color2,high_color1,no,no,images/high_nameability/all_shapes/high_shape7_high_color1.png,1,4,325,225
Mia,high_shape7,test,yes,high_color4,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape7_high_color2.png,3,5,145,220
Mia,high_shape10,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape10_high_color4.png,2,6,505,215
Mia,high_shape10,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape10_high_color4.png,1,7,750,105
Mia,high_shape7,test,yes,high_color4,high_color2,high_color4,yes,no,images/high_nameability/all_shapes/high_shape7_high_color4.png,2,8,585,90
Charlotte,high_shape17,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color5.png,2,1,145,220
Charlotte,high_shape13,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape13_high_color5.png,1,2,585,90
Charlotte,high_shape10,filler,no,high_color5,high_color5,high_color1,no,no,images/high_nameability/all_shapes/high_shape10_high_color1.png,1,3,420,95
Charlotte,high_shape21,test,yes,high_color5,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape21_high_color2.png,2,4,325,225
Charlotte,high_shape17,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color5.png,1,5,750,105
Charlotte,high_shape21,test,yes,high_color5,high_color2,high_color5,yes,no,images/high_nameability/all_shapes/high_shape21_high_color5.png,3,6,95,90
Charlotte,high_shape21,test,yes,high_color5,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape21_high_color2.png,1,7,255,85
Charlotte,high_shape21,test,yes,high_color5,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape21_high_color2.png,4,8,505,215
Amelia,high_shape21,test,yes,high_color1,high_color5,high_color2,no,no,images/high_nameability/all_shapes/high_shape21_high_color2.png,1,1,255,85
Amelia,high_shape9,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,2,2,505,215
Amelia,high_shape21,test,yes,high_color1,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape21_high_color5.png,4,3,145,220
Amelia,high_shape17,filler,no,high_color1,high_color1,high_color5,no,no,images/high_nameability/all_shapes/high_shape17_high_color5.png,1,4,95,90
Amelia,high_shape21,test,yes,high_color1,high_color5,high_color1,yes,no,images/high_nameability/all_shapes/high_shape21_high_color1.png,3,5,325,225
Amelia,high_shape7,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape7_high_color1.png,1,6,750,105
Amelia,high_shape21,test,yes,high_color1,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape21_high_color5.png,2,7,585,90
Amelia,high_shape9,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,1,8,420,95
Harper,high_shape17,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color2.png,1,1,145,220
Harper,high_shape9,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,2,2,325,225
Harper,high_shape1,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color2.png,1,3,585,90
Harper,high_shape9,test,yes,high_color2,high_color1,high_color5,no,no,images/high_nameability/all_shapes/high_shape9_high_color5.png,1,4,95,90
Harper,high_shape9,test,yes,high_color2,high_color1,high_color2,yes,no,images/high_nameability/all_shapes/high_shape9_high_color2.png,4,5,255,85
Harper,high_shape21,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color2.png,2,6,505,215
Harper,high_shape21,filler,no,high_color2,high_color2,high_color4,no,no,images/high_nameability/all_shapes/high_shape21_high_color4.png,1,7,420,95
Harper,high_shape9,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,3,8,750,105
Lily,high_shape1,test,yes,high_color4,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape1_high_color5.png,1,1,505,215
Lily,high_shape9,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color4.png,1,2,585,90
Lily,high_shape21,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color4.png,1,3,325,225
Lily,high_shape10,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape10_high_color4.png,1,4,255,85
Lily,high_shape1,test,yes,high_color4,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape1_high_color5.png,3,5,420,95
Lily,high_shape9,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color4.png,2,6,95,90
Lily,high_shape1,test,yes,high_color4,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape1_high_color5.png,4,7,145,220
Lily,high_shape1,test,yes,high_color4,high_color5,high_color4,yes,no,images/high_nameability/all_shapes/high_shape1_high_color4.png,2,8,750,105
Ella,high_shape13,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape13_high_color5.png,1,1,145,220
Ella,high_shape10,test,yes,high_color5,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape10_high_color4.png,4,2,750,105
Ella,high_shape21,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color5.png,1,3,585,90
Ella,high_shape13,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape13_high_color5.png,2,4,420,95
Ella,high_shape10,test,yes,high_color5,high_color4,high_color5,yes,no,images/high_nameability/all_shapes/high_shape10_high_color5.png,1,5,325,225
Ella,high_shape10,test,yes,high_color5,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape10_high_color4.png,2,6,255,85
Ella,high_shape9,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color5.png,1,7,95,90
Ella,high_shape10,test,yes,high_color5,high_color4,high_color2,no,no,images/high_nameability/all_shapes/high_shape10_high_color2.png,3,8,505,215
Chloe,high_shape13,test,yes,high_color1,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape13_high_color5.png,3,1,145,220
Chloe,high_shape1,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color1.png,1,2,420,95
Chloe,high_shape4,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape4_high_color1.png,2,3,750,105
Chloe,high_shape17,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color1.png,1,4,255,85
Chloe,high_shape13,test,yes,high_color1,high_color5,high_color1,yes,no,images/high_nameability/all_shapes/high_shape13_high_color1.png,1,5,95,90
Chloe,high_shape13,test,yes,high_color1,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape13_high_color5.png,4,6,325,225
Chloe,high_shape13,test,yes,high_color1,high_color5,high_color2,no,no,images/high_nameability/all_shapes/high_shape13_high_color2.png,2,7,585,90
Chloe,high_shape4,filler,no,high_color1,high_color1,high_color2,no,no,images/high_nameability/all_shapes/high_shape4_high_color2.png,1,8,505,215
Victoria,high_shape7,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape7_high_color1.png,1,1,505,215
Victoria,high_shape10,filler,no,high_color2,high_color2,high_color4,no,no,images/high_nameability/all_shapes/high_shape10_high_color4.png,1,2,420,95
Victoria,high_shape9,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color2.png,1,3,325,225
Victoria,high_shape7,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape7_high_color1.png,4,4,255,85
Victoria,high_shape7,test,yes,high_color2,high_color1,high_color2,yes,no,images/high_nameability/all_shapes/high_shape7_high_color2.png,2,5,750,105
Victoria,high_shape7,test,yes,high_color2,high_color1,high_color4,no,no,images/high_nameability/all_shapes/high_shape7_high_color4.png,3,6,145,220
Victoria,high_shape1,filler,no,high_color2,high_color2,high_color5,no,no,images/high_nameability/all_shapes/high_shape1_high_color5.png,1,7,95,90
Victoria,high_shape10,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape10_high_color2.png,2,8,585,90
Aria,high_shape9,filler,no,high_color4,high_color4,high_color5,no,no,images/high_nameability/all_shapes/high_shape9_high_color5.png,1,1,145,220
Aria,high_shape17,test,yes,high_color4,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape17_high_color2.png,3,2,420,95
Aria,high_shape7,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape7_high_color4.png,2,3,750,105
Aria,high_shape17,test,yes,high_color4,high_color2,high_color4,yes,no,images/high_nameability/all_shapes/high_shape17_high_color4.png,2,4,255,85
Aria,high_shape21,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color4.png,1,5,325,225
Aria,high_shape7,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape7_high_color4.png,1,6,505,215
Aria,high_shape17,test,yes,high_color4,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape17_high_color2.png,4,7,585,90
Aria,high_shape17,test,yes,high_color4,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape17_high_color2.png,1,8,95,90
Scarlett,high_shape4,test,yes,high_color5,high_color4,high_color2,no,no,images/high_nameability/all_shapes/high_shape4_high_color2.png,1,1,585,90
Scarlett,high_shape4,test,yes,high_color5,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape4_high_color4.png,2,2,95,90
Scarlett,high_shape4,test,yes,high_color5,high_color4,high_color5,yes,no,images/high_nameability/all_shapes/high_shape4_high_color5.png,4,3,505,215
Scarlett,high_shape17,filler,no,high_color5,high_color5,high_color4,no,no,images/high_nameability/all_shapes/high_shape17_high_color4.png,1,4,325,225
Scarlett,high_shape4,test,yes,high_color5,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape4_high_color4.png,3,5,145,220
Scarlett,high_shape17,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color5.png,2,6,750,105
Scarlett,high_shape1,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color5.png,1,7,420,95
Scarlett,high_shape13,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape13_high_color5.png,1,8,255,85
Layla,high_shape9,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,2,1,585,90
Layla,high_shape4,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape4_high_color1.png,1,2,420,95
Layla,high_shape13,test,yes,high_color1,high_color2,high_color4,no,no,images/high_nameability/all_shapes/high_shape13_high_color4.png,3,3,750,105
Layla,high_shape13,test,yes,high_color1,high_color2,high_color5,no,no,images/high_nameability/all_shapes/high_shape13_high_color5.png,2,4,95,90
Layla,high_shape21,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color1.png,1,5,325,225
Layla,high_shape9,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color1.png,1,6,505,215
Layla,high_shape13,test,yes,high_color1,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape13_high_color2.png,1,7,255,85
Layla,high_shape13,test,yes,high_color1,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape13_high_color2.png,4,8,145,220
Nora,high_shape7,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape7_high_color1.png,3,1,505,215
Nora,high_shape7,test,yes,high_color2,high_color1,high_color2,yes,no,images/high_nameability/all_shapes/high_shape7_high_color2.png,4,2,145,220
Nora,high_shape13,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape13_high_color2.png,1,3,255,85
Nora,high_shape1,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color2.png,1,4,420,95
Nora,high_shape1,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color2.png,2,5,750,105
Nora,high_shape7,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape7_high_color1.png,1,6,585,90
Nora,high_shape7,test,yes,high_color2,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape7_high_color1.png,2,7,325,225
Nora,high_shape21,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color2.png,1,8,95,90
Riley,high_shape4,test,yes,high_color4,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape4_high_color5.png,3,1,420,95
Riley,high_shape4,test,yes,high_color4,high_color5,high_color4,yes,no,images/high_nameability/all_shapes/high_shape4_high_color4.png,4,2,145,220
Riley,high_shape1,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color4.png,1,3,255,85
Riley,high_shape4,test,yes,high_color4,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape4_high_color5.png,2,4,750,105
Riley,high_shape17,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color4.png,1,5,505,215
Riley,high_shape9,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color4.png,1,6,325,225
Riley,high_shape17,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color4.png,2,7,95,90
Riley,high_shape4,test,yes,high_color4,high_color5,high_color2,no,no,images/high_nameability/all_shapes/high_shape4_high_color2.png,1,8,585,90
Zoey,high_shape13,filler,no,high_color5,high_color5,high_color2,no,no,images/high_nameability/all_shapes/high_shape13_high_color2.png,1,1,145,220
Zoey,high_shape21,test,yes,high_color5,high_color4,high_color2,no,no,images/high_nameability/all_shapes/high_shape21_high_color2.png,2,2,325,225
Zoey,high_shape4,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape4_high_color5.png,1,3,420,95
Zoey,high_shape17,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color5.png,1,4,505,215
Zoey,high_shape4,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape4_high_color5.png,2,5,255,85
Zoey,high_shape21,test,yes,high_color5,high_color4,high_color5,yes,no,images/high_nameability/all_shapes/high_shape21_high_color5.png,3,6,585,90
Zoey,high_shape21,test,yes,high_color5,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape21_high_color4.png,4,7,95,90
Zoey,high_shape21,test,yes,high_color5,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape21_high_color4.png,1,8,750,105
Hannah,high_shape10,test,yes,high_color1,high_color2,high_color4,no,no,images/high_nameability/all_shapes/high_shape10_high_color4.png,1,1,750,105
Hannah,high_shape10,test,yes,high_color1,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape10_high_color2.png,4,2,255,85
Hannah,high_shape10,test,yes,high_color1,high_color2,high_color2,no,yes,images/high_nameability/all_shapes/high_shape10_high_color2.png,3,3,325,225
Hannah,high_shape10,test,yes,high_color1,high_color2,high_color5,no,no,images/high_nameability/all_shapes/high_shape10_high_color5.png,2,4,420,95
Hannah,high_shape17,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape17_high_color1.png,1,5,95,90
Hannah,high_shape1,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color1.png,2,6,585,90
Hannah,high_shape4,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape4_high_color1.png,1,7,145,220
Hannah,high_shape1,filler,no,high_color1,high_color1,high_color4,no,no,images/high_nameability/all_shapes/high_shape1_high_color4.png,1,8,505,215
Luna,high_shape7,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape7_high_color2.png,1,1,255,85
Luna,high_shape9,test,yes,high_color2,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape9_high_color5.png,2,2,505,215
Luna,high_shape4,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape4_high_color2.png,1,3,325,225
Luna,high_shape9,test,yes,high_color2,high_color5,high_color4,no,no,images/high_nameability/all_shapes/high_shape9_high_color4.png,1,4,585,90
Luna,high_shape9,test,yes,high_color2,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape9_high_color5.png,4,5,145,220
Luna,high_shape9,test,yes,high_color2,high_color5,high_color5,no,yes,images/high_nameability/all_shapes/high_shape9_high_color5.png,3,6,420,95
Luna,high_shape21,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color2.png,2,7,95,90
Luna,high_shape21,filler,no,high_color2,high_color2,high_color2,yes,yes,images/high_nameability/all_shapes/high_shape21_high_color2.png,1,8,750,105
Stella,high_shape17,test,yes,high_color4,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape17_high_color1.png,4,1,145,220
Stella,high_shape17,test,yes,high_color4,high_color1,high_color4,yes,no,images/high_nameability/all_shapes/high_shape17_high_color4.png,3,2,420,95
Stella,high_shape17,test,yes,high_color4,high_color1,high_color5,no,no,images/high_nameability/all_shapes/high_shape17_high_color5.png,1,3,95,90
Stella,high_shape17,test,yes,high_color4,high_color1,high_color1,no,yes,images/high_nameability/all_shapes/high_shape17_high_color1.png,2,4,750,105
Stella,high_shape9,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color4.png,2,5,325,225
Stella,high_shape9,filler,no,high_color4,high_color4,high_color1,no,no,images/high_nameability/all_shapes/high_shape9_high_color1.png,1,6,505,215
Stella,high_shape4,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape4_high_color4.png,1,7,255,85
Stella,high_shape1,filler,no,high_color4,high_color4,high_color4,yes,yes,images/high_nameability/all_shapes/high_shape1_high_color4.png,1,8,585,90
Aurora,high_shape7,filler,no,high_color5,high_color5,high_color1,no,no,images/high_nameability/all_shapes/high_shape7_high_color1.png,1,1,750,105
Aurora,high_shape10,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape10_high_color5.png,1,2,505,215
Aurora,high_shape1,test,yes,high_color5,high_color4,high_color5,yes,no,images/high_nameability/all_shapes/high_shape1_high_color5.png,2,3,585,90
Aurora,high_shape1,test,yes,high_color5,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape1_high_color4.png,1,4,255,85
Aurora,high_shape9,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color5.png,2,5,95,90
Aurora,high_shape9,filler,no,high_color5,high_color5,high_color5,yes,yes,images/high_nameability/all_shapes/high_shape9_high_color5.png,1,6,420,95
Aurora,high_shape1,test,yes,high_color5,high_color4,high_color2,no,no,images/high_nameability/all_shapes/high_shape1_high_color2.png,4,7,145,220
Aurora,high_shape1,test,yes,high_color5,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape1_high_color4.png,3,8,325,225
Leah,high_shape10,filler,no,high_color1,high_color1,high_color1,yes,yes,images/high_nameability/all_shapes/high_shape10_high_color1.png,1,1,420,95
Leah,high_shape13,test,yes,high_color1,high_color4,high_color4,no,yes,images/high_nameability/all_shapes/high_shape13_high_color4.png,3,2,585,90
